Rang;Évolution;Rang 2019/20;Championnat;Coefficient
1;en stagnation;-1;Drapeau de la Hongrie Nemzeti Bajnokság I;162,50
2;Entré ;-3;Drapeau de la Russie Super League;119,00
3;Remplacé;-2;Drapeau de la Roumanie Liga Naţională;106,67
4;en stagnation;-4;Drapeau du Danemark Damehåndboldligaen;105,17
5;en stagnation;-5;Drapeau de la France LFH;95,00
6;en stagnation;-6;Drapeau de la Norvège Eliteserien;89,67
7;en stagnation;-7;Drapeau de l'Allemagne Bundesliga;68,83
8;en stagnation;-8;Drapeau de la Macédoine du Nord Super League;68,17
