Library Name;License;Free;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Supported Bar Chart Types;Other Features;Interactivity;Interactivity;Rendering Technologies;Rendering Technologies;Rendering Technologies;Databinding;HTML 5 Canvas
dimple;MIT;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes;No;Yes;
Dojo Charting;BSD or AFL;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;;Yes;Yes;No;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;;
Dygraphs;MIT;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;Yes;;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;No;No;;
Echarts;BSD-3;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;
Factmint Charts;Proprietary;Non-commercial or commercial;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes;No;;;
Flot Charts;MIT;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;;Yes;No;No;No;;Yes;Yes;Yes;Yes;No;No;;
Flotr2;MIT;Yes;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;Yes;;Yes;Yes;No;Yes;;Yes;Yes;Yes;Yes;No;No;;
FusionCharts;Proprietary;Free for personal and non-commercial uses. Paid for commercial applications.;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes;Yes;;;
Google Charts;Free;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
gRaphael;MIT;Yes;Yes;No;Yes;No;Yes;No;No;No;No;No;No;Yes;;Yes;No;No;Yes;;Yes;Yes;No;No;Yes;No;;
Highcharts, Highstock;Proprietary;Free for personal and non-commercial uses. Paid for commercial applications.;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;
