XEP;Description;Status;ejabberd;iChat Server;jabberd14;jabberd2;Metronome;Isode M-Link;MongooseIM;Openfire;Prosody;Tigase
0136;Message archiving;Deprecated;Contrib.;Unknown;Contrib.;No;No;No;No;Yes/Plugin;Contrib.;Yes
0137;Publishing SI Requests;Deprecated;No;Unknown;Unknown;No;Yes;No;No;Unknown;No;No
XEP;Description;Status;ejabberd;iChat Server;jabberd14;jabberd2;Metronome;Isode M-Link;MongooseIM;Openfire;Prosody;Tigase
0138;Stream Compression;Final;Yes;Unknown;Unknown;Yes;Yes;Yes;Yes;Yes;Yes;Yes
0148;Instant Messaging Intelligence Quotient;Humorous;Unknown;Unknown;Unknown;No;unfinished;No;No;Unknown;experimental;Yes
0153;vCard-Based Avatars;Historical Use;Yes;Unknown;Yes;Yes;Yes;No;Yes;Unknown;Yes;Yes
0154;User profile;Deferred;Contrib.;Unknown;Unknown;No;Yes;No;No;Unknown;No;No
0157;Contact Addresses for XMPP Services;Approved;Yes;Unknown;Yes;Yes;Yes;No;Yes;Unknown;Contrib.;Yes
0158;CAPTCHA Forms;Draft;Yes;Unknown;Unknown;No;No;No;No;Unknown;No;No
0159;Spim-Blocking Control;Deferred;Unknown;Unknown;Unknown;No;Yes;No;No;Unknown;No;No
0160;Best Practices for Handling Offline Messages;Approved;Yes;Unknown;Yes;Yes;Yes;No;Yes;Unknown;Yes;Yes
0161;Abuse Reporting;Deferred;Unknown;Unknown;Unknown;No;No;No;No;Unknown;No;No
0163;Personal Eventing Protocol;Draft;Yes;Unknown;Unknown;No;Yes;Yes;Yes;Yes;Yes;Yes
0168;Resource Application Priority;Deferred;Unknown;Unknown;Unknown;No;No;No;No;Unknown;No;No
0170;Recommended Order of Stream Feature Negotiation;Approved;Yes;Yes;Yes;Yes;Yes;No;Yes;Unknown;Yes;Yes
0171;Language Translation;Draft;Unknown;Unknown;Unknown;No;No;No;No;Unknown;Yes;No
0172;User Nickname;Draft;No;Unknown;Unknown;No;Yes;No;No;Unknown;Yes;Yes
0175;Best Practices for Use of SASL ANONYMOUS;Approved;Yes;Unknown;Unknown;Yes;Yes;No;Yes;Yes;Yes;Yes
0176;Jingle ICE-UDP Transport Method;Draft;Yes;Unknown;Unknown;No;Unknown;No;No;Unknown;Yes;Yes
0178;Best Practices for Use of SASL EXTERNAL with Certificates;Approved;No;Unknown;Yes;Yes;Yes;No;No;Unknown;Yes;Yes
0182;Application-Specific Error Conditions;Approved;Unknown;Unknown;Unknown;No;Yes;No;Unknown;Unknown;Yes;No
XEP;Description;Status;ejabberd;iChat Server;jabberd14;jabberd2;Metronome;Isode M-Link;MongooseIM;Openfire;Prosody;Tigase
0184;Message Delivery Receipts;Draft;No;Unknown;Unknown;Unknown;Unknown;No;Yes;Unknown;Yes;Yes
0185;Dialback Key Generation and Validation;Approved;Unknown;Unknown;Yes;Yes;Yes;No;Yes;Unknown;Yes;Yes
0189;Public Key Publishing;Deferred;Unknown;Unknown;Unknown;No;No;No;No;Unknown;Yes;Yes
0190;Best Practice for Closing Idle Streams;Obsolete;Yes;Unknown;Unknown;Yes;Yes;No;Unknown;Unknown;No;Yes
0191;Blocking Command;Draft;Yes;Unknown;Unknown;Yes;Yes;No;Yes;Unknown;Yes;Yes
0192;Proposed Stream Feature Improvements;Obsolete;Unknown;Unknown;Unknown;Yes;No;No;Unknown;Unknown;Unknown;Unknown
0193;Proposed Resource Binding Improvements;Obsolete;Contrib.;Contrib.;Unknown;Yes;No;No;Unknown;Unknown;Unknown;Unknown
0194;User Chatting;Deferred;Unknown;Unknown;Unknown;No;Yes;No;No;Unknown;Yes;Unknown
0195;User Browsing;Deferred;Unknown;Unknown;Unknown;No;Yes;No;No;Unknown;Yes;Unknown
0198;Stream Management;Draft;Yes;No;No;Yes;Yes;Yes;Yes;Partial;Yes;Yes
0199;XMPP Ping;Final;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Yes
0202;Entity Time;Final;Yes;Unknown;Unknown;Yes;Yes;No;Yes;Unknown;Yes;No
0203;Delayed Delivery;Final;Yes;Unknown;Unknown;Yes;Yes;Yes;Yes;Yes;Yes;Yes
0205;Best Practices to Discourage Denial of Service Attacks;Approved;Partial;Yes;Unknown;Yes;Yes;No;Partial;Unknown;No;Yes
0206;XMPP over BOSH;Draft;Yes;Unknown;Unknown;No;Yes;No;Yes;Unknown;Yes;Yes
0209;Metacontacts;Deferred;Unknown;Unknown;Unknown;Yes;Yes;No;Yes;Unknown;Yes;Yes
0212;XMPP Basic Server 2008;Obsolete;Yes;Unknown;Unknown;Yes;Unknown;Yes;Yes;Unknown;Yes;Yes
0214;File Repository and Sharing;Deferred;Unknown;Unknown;Unknown;No;No;No;No;Unknown;No;Unknown
0215;External Service Discovery;Deferred;No;No;Unknown;No;Yes;No;No;Unknown;No;No
0216;XMPP Intermediate IM Server 2008;Obsolete;Yes;Unknown;Unknown;Yes;Unknown;No;Yes;Unknown;Yes;Yes
0220;Server Dialback;Draft;Unknown;Unknown;Unknown;Yes;Yes;Yes;Unknown;Unknown;Yes;Yes
XEP;Description;Status;ejabberd;iChat Server;jabberd14;jabberd2;Metronome;Isode M-Link;MongooseIM;Openfire;Prosody;Tigase
0221;Data Forms Media Element;Draft;Unknown;Unknown;Unknown;No;No;No;Unknown;Unknown;Yes;No
0223;Persistent Storage of Private Data via PubSub;Approved;Yes;Yes;Unknown;No;Yes;No;No;Unknown;Yes;Yes
0225;Component Connections;Deferred;No;Unknown;Unknown;Yes;No;No;No;Unknown;No;Yes
0227;Portable Import/Export Format for XMPP-IM Servers (proposed);Draft;Yes;Unknown;Unknown;No;No;Yes;No;Unknown;Yes;No
0230;Service Discovery Notifications;Deferred;Unknown;Unknown;Unknown;No;No;No;No;Unknown;No;No
0232;Software Information;Deferred;Unknown;Unknown;Unknown;Yes;No;No;No;Unknown;No;No
0233;Use of Domain-Based Service Names in XMPP SASL Negotiation;Draft;Unknown;Unknown;Unknown;No;No;No;No;Unknown;No;No
0235;OAuth Over XMPP;Deferred;Unknown;Unknown;Unknown;No;No;No;No;Unknown;No;No
0236;Abuse Reporting;Retracted;Unknown;Unknown;Unknown;No;No;No;No;Unknown;No;No
0237;Roster Versioning;Obsolete;Yes;Unknown;Unknown;Yes;Yes;Yes;Yes;Unknown;Yes;Yes
0238;XMPP Protocol Flows for Inter-Domain Federation;Deferred;Unknown;Unknown;Unknown;Yes;Unknown;No;Unknown;Unknown;Unknown;Unknown
0241;Encryption of Archived Messages;Deferred;Unknown;Unknown;Unknown;No;No;No;No;Unknown;No;No
0243;XMPP Server Compliance 2009;Obsolete;Yes;Unknown;Unknown;Yes;Yes;Yes;Yes;Unknown;Yes;Yes
0248;PubSub Collection Nodes;Deferred;Yes;Unknown;Unknown;No;No;No;No;Unknown;No;Partial
0252;BOSH Script Syntax;Deferred;Unknown;Unknown;Unknown;No;Yes;No;No;Unknown;No;No
0253;PubSub Chaining;Deferred;Unknown;Unknown;Unknown;No;No;No;No;Unknown;No;Partial
0254;PubSub Queueing;Deferred;Unknown;Unknown;Unknown;No;No;No;No;Unknown;No;Unknown
0255;Location Query;Deferred;Unknown;Unknown;Unknown;No;No;No;No;Unknown;No;No
0256;Last Activity in Presence;Draft;Unknown;Unknown;Unknown;No;No;No;Unknown;Unknown;No;No
0257;Client Certificate Management for SASL EXTERNAL;Deferred;Unknown;Unknown;Unknown;No;No;No;No;Unknown;Contrib.;Unknown
0258;Security Labels in XMPP;Draft;Unknown;Unknown;Unknown;Unknown;Yes;Yes;No;Unknown;Contrib.;Unknown
0259;Message Mine-ing;Deferred;Unknown;Unknown;Unknown;No;No;No;No;Unknown;No;Unknown
0268;Incident Handling;Deferred;Unknown;Unknown;Unknown;Unknown;Yes;No;No;Unknown;Contrib.;No
0270;XMPP Compliance Suites 2010;Obsolete;Yes;Unknown;Unknown;No;Yes;Yes;Yes;Unknown;Unknown;Unknown
0273;Stanza Interception and Filtering Technology (SIFT);Deferred;Unknown;Unknown;Unknown;Unknown;Partial;No;No;Unknown;Contrib.;No
0278;Jingle Relay Nodes;Experimental;Yes;Unknown;Unknown;No;Yes;No;No;Unknown;Unknown;No
0279;Server IP Check;Deferred;Yes;Unknown;Unknown;No;Yes;No;Yes;Unknown;Contrib.;No
0280;Message Carbons;Experimental;Yes;Unknown;Unknown;Unknown;Yes;No;Yes;Yes;Yes;Yes
0288;Bidirectional Server-to-Server Connections;Draft;Unknown;Unknown;Unknown;Unknown;Yes;Yes;No;Unknown;Unknown;Unknown
0289;Federated MUC for Constrained Environments;Deferred;Unknown;Unknown;Unknown;Unknown;No;Yes;No;Unknown;Unknown;Unknown
0302;XMPP Compliance Suites 2012;Obsolete;Yes;Unknown;Unknown;Unknown;Yes;No;Yes;Unknown;Unknown;Yes
0309;Service Directories;Deferred;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;No;Unknown;Contrib.;Unknown
0313;Message Archive Management;Experimental;Yes;Unknown;Unknown;Unknown;Yes;No;Yes;Yes;Yes;Yes
0321;Remote Roster Management;Deferred;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;No;Unknown;Unknown;Unknown
0357;Push Notifications;Experimental;Contrib;Unknown;No;No;Yes;No;Yes;No;Contrib.;Yes
0363;HTTP File Upload;Experimental;Contrib;Unknown;No;No;Yes;No;Yes;Yes/Plugin;Yes;Yes
0375;XMPP Compliance Suites 2016;Retracted;Contrib;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown
0376;Pubsub Account Management;Deferred;Contrib;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
XEP;Description;Status;ejabberd;iChat Server;jabberd14;jabberd2;Metronome;Isode M-Link;MongooseIM;Openfire;Prosody;Tigase
