Feature;Android;iOS;Tizen;Sailfish OS;Ubuntu Touch
System wide base text size;Yes;Yes;?;2.1.0+: Set text size;?
Monaural output;Yes;Yes;No;No;No
Always visible scrollbar;No;No;No;No;No
Reduced Animations;Yes;Yes;No;No;No
