;;Trident;EdgeHTML;Gecko;WebKit;Blink;KHTML;Presto
Operation mode;Progressive;3.0;Yes;Yes;85;Yes;Yes;1.0
Operation mode;Baseline;3.0;Yes;Yes;85;Yes;Yes;1.0
Operation mode;Hierarchical;3.0;Yes;Yes;85;Yes;Yes;1.0
Operation mode;Lossless;3.0;Yes;Yes;85;Yes;Yes;1.0
