Engine;Origin;Designer;Vehicle;Status;Use;Propellant;Specific impulse (s);Thrust (N);Mass (kg);Thrust:weight ratio;Chamber pressure (bar);Oxidiser:fuel ratio
Vulcain 2;Europe;Snecma;Ariane 5;Active;1st;LH / LOX;429 318 (SL);1,359,000 939,500 (SL);1,800;77.04;117.3;
YF-100;China;AALPT;Long March 5 Long March 6 Long March 7;Active;Booster, 1st;RP-1 / LOX;335 300 (SL);1,340,000 1,200,000 (SL);;;180;
YF-115;China;AALPT;Long March 6 Long March 7;Active;2nd;RP-1 / LOX;341.5;176,500;;;;
YF-21B;China;AALPT;Long March 2E Long March 2F Long March 3;Active;Booster, 1st;NO / UDMH;260.66 (SL);740,400 (SL);;;;
YF-21C;China;AALPT;Long March 2C Long March 2D Long March 3A Long March 3B Long March 3C Long March 4B Long March 4C;Active;1st;NO / UDMH;260.7 (SL);740,400 (SL);;;;
YF-25;China;AALPT;Long March 3B Long March 3C;Active;Booster;NO / UDMH;260.66 (SL);740,400 (SL);;;;
YF-22B;China;AALPT;Long March 2E Long March 2F;Active;2nd;NO / UDMH;298.0;738,400;;;;
YF-22C;China;AALPT;Long March 2C Long March 2D Long March 4B Long March 4C;Active;2nd;NO / UDMH;298.0;742,040;;;;
YF-22D;China;AALPT;Long March 3;Active;2nd;NO / UDMH;298.0;741,400;;;;
YF-22E;China;AALPT;Long March 3A Long March 3B Long March 3C;Active;2nd;NO / UDMH;298.0;741,400;;;;
YF-40;China;AALPT;Long March 4B Long March 4C;Active;3rd;NO / UDMH;303;103,000;;;;
YF-50D;China;AALPT;Long March 3B Long March 3C Long March 5 Long March 7;Active;Upper;NO / UDMH;315.5;6,500;;;;
YF-73;China;AALPT;Long March 3;Active;3rd;LH / LOX;420.0;44,150;;;;
YF-75;China;AALPT;Long March 3A Long March 3B Long March 3C;Active;3rd;LH / LOX;438.0;167,170;;;;
YF-75D;China;AALPT;Long March 5;Active;2nd;LH / LOX;442.0;86,260;;;;
YF-77;China;AALPT;Long March 5;Active;1st;LH / LOX;430 310.2 (SL);700,000 510,000 (SL);2,700;;102;
YF-90;China;AALPT;Long March 9;Development;2nd;LH / LOX;453;2,300,000;;;;
YF-100;China;AALPT;Long March 7, Long March 5;Active;1st;RP-1/ LOX;300;1,223,500;2,700;;133;
YF-130;China;AALPT;Long March 9;Development;1st;RP-1/ LOX;306;4,800,000;;;;
Zefiro 9A;European Union;Avio;Vega;Active;3rd;HTPB;295.2;314,000;11,400 with fuel;;75;
Zefiro 23;European Union;Avio;Vega;Active;2nd;HTPB;287.5;1,122,000;25,935 with fuel;;;
Delphin;USA;Astra Space;Rocket 3.0;Active;1st;RP-1/LOX;;27,000;;;;
Aether;USA;Astra Space;Rocket 3.0;Active;2nd;RP-1/LOX;;;;;;
