API;Desktop support;Embedded system support;License
Direct3D;Microsoft Windows, Xbox;Windows Embedded, Windows CE (through Direct3D Mobile);Proprietary
OpenGL;Cross-platform;Cross-platform through OpenGL ES;Open standard, some features patented
