Distribution;Free software repositories;Approximate number of pre-compiled packages;Approximate number of source packages;Default package management tool(s);Package format;Default installer;Graphical installation process;Netinstall;Netboot
Alpine Linux;Free, and nonfree;8,135;?;apk;.apk;setup-alpine;No;?;?
ALT Linux;Free, and nonfree;8,300;?;APT (APT-RPM), RPM;RPM;;Yes;?;?
Arch Linux;Free, and nonfree;10,999;66,265 from AUR;Pacman;.pkg.tar.zst;None (third-party install scripts only);No;Yes;iPXE
BLAG;Free only;10,000;?;RPM, yum, APT;RPM;;Yes;No;No
Bodhi Linux;Free, and nonfree;;?;APT;.dpkg;Ubiquity;Yes;?;?
CentOS;Free, and nonfree;;?;RPM, yum/up2date;RPM;Anaconda;Yes;Yes;?
Chakra;Free, and nonfree;3,074;CCR: 5,342;Pacman (will be replaced by Akabei in future);.pkg.tar.xz;;Package manager in development;?;?
ClearOS;Free, and nonfree;;?;RPM, yum;RPM;;No;?;?
CrunchBang Linux;Free, and nonfree;;?;APT;.deb;;Yes;?;?
Debian;Free, and nonfree;89,403;28,923;APT;.deb;Debian-Installer;Yes;Yes;PXE
Devuan;Free, and nonfree;;?;APT;.deb;Debian-Installer;Yes;Yes;PXE
Dragora GNU/Linux-Libre;Free only;484;?;pkgsystem;.tlz;?;No;No;No
dyne:bolic;Free only;?;?;APT;.deb;Debian-Installer;Yes;No;No
Fedora;Free, and nonfree;58,991 with RPM fusion;30,681;DNF, yum, PackageKit;RPM;Anaconda;Yes;Yes;?
Gentoo;Free, and nonfree;10,000;19,092;Portage;.ebuild, .tbz2;None (third-party install scripts only);Yes;Yes;PXE
gNewSense;Free only;?;?;APT;.deb;Debian-Installer;Yes;Yes;No
Guix System;Free only;13,168;13,168;Guix;.scm, .go;guix system init;Yes;Yes;No
Hyperbola GNU/Linux-libre;Free only;14,494;?;Pacman;.pkg.tar.xz;None (third-party install scripts only);No;Yes;?
Knoppix;Free, and nonfree;;?;APT;.deb;;No;?;?
LibreCMC;Free only;826;?;?;?;;No;No;No
