;Trident;edgeHTML;Gecko;WebKit;Presto
Ogg Vorbis;Manual install;;1.9.1;Depends;2.5
WAV PCM;Manual install;;1.9.1;525;2.0
MP3;5.0;;No;525;Depends
AAC;5.0;;No;525;Depends
Speex;Manual install;;No;Depends;No
Opus;No;Yes;15.0;Depends;No
