Model (Codename);Launch;Architecture (Fab);Core;Core;Fillrate;Fillrate;Processing power (GFLOPS);Memory;Memory;Memory;Memory;TDP
Model (Codename);Launch;Architecture (Fab);Config;Clock (MHz);Texture (GT/s);Pixel (GP/s);Processing power (GFLOPS);Bus type & width;Size (GiB);Clock (MHz);Band- width (GB/s);TDP
Radeon 610 (Banks);13 August 2019;GCN 1 gen (28 nm);320:20:8;1030;20.6;8.2;659;GDDR5 64-bit;2–4;1125;36;<=50 W
Radeon 620 (Polaris 24 XL);13 August 2019;GCN 3 gen (28 nm);384:24:8;730 1024;24.6;8.2;786;DDR3 64-bit;2–4;900;14.4;<=50 W
Radeon 625 (Polaris 24 XL);13 August 2019;GCN 3 gen (28 nm);384:24:8;730 1024;24.6;8.2;786;GDDR5 64-bit;2–4;1125;36;<=50 W
Radeon 630 (Polaris 23 XL);13 August 2019;GCN 4 gen (14 nm);512:32:8;1082 1219;39;9.8;1248;GDDR5 64-bit;2–4;1500;48;<=50 W
Radeon RX 640 (Polaris 23 XT);13 August 2019;GCN 4 gen (14 nm);640:40:16;1100 1287;51.5;20.6;1647;GDDR5 64-bit;2–4;1750;56;<=50 W
