Kernel name;CRC-32 (IEEE);CRC32c;MD2;MD4;MD5;SHA-1;SHA-2;SHA-3;Michael MIC;Poly1305;RIPEMD-128;RIPEMD-160;RIPEMD-256;RIPEMD-320;Tiger;Whirlpool;HMAC;MDC2;GOST;LASH;VMAC
Linux;Yes;Yes;No;Yes;Yes;Yes;Yes;Partial;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes
Solaris kernel;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;?;?;?;Yes;?;?;Yes;?;Yes;Yes;?;?;?
Windows NT kernel;?;?;Yes;Yes;Yes;Yes;Yes;?;No;?;No;No;No;No;No;No;Yes;No;No;No;?
FreeBSD kernel;Yes;Yes;?;Yes;Yes;Yes;Yes;?;?;?;?;Yes;?;?;Yes;?;Yes;?;?;?;?
XNU kernel;Yes;?;Yes;?;Yes;Yes;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?
Kernel name;CRC-32 (IEEE);CRC32c;MD2;MD4;MD5;SHA-1;SHA-2;SHA-3;Michael MIC;Poly1305;RIPEMD-128;RIPEMD-160;RIPEMD-256;RIPEMD-320;Tiger;Whirlpool;HMAC;MDC2;GOST;LASH;VMAC
