Awards;Awards
Publication;Award
Amstrad Action;2nd-best rated game in the history of the magazine
Amiga Power;2nd-best Amiga game of all time (1991)
Mega;23rd-best game of all time (1994)
CGW;12th-best game of all time (1996)
Edge;82nd-top game of all time (2007)
Your Sinclair;20th-top ZX Spectrum game of all time (1993, by readers)
Wirtualna Polska;The best Amiga game of all time (2011)
Next Generation;8th-top game of all time (1996)
