Feature;Android;iOS;Tizen;Sailfish OS;Ubuntu Touch
Non-intrusive incoming calls;5+ or 3rd party software;14+;No;No;?
Non-intrusive notifications;Yes;5+;?;?;?
Move apps to external storage;2.2+;External storage not allowed for apps;No;No;No
Remote Frame Buffer (RFB) protocol;Yes;3rd party software;?;?;?
Screencast on device;No, 3rd party software like LineageOS ScreenCast, AOKP or OmniROM;9+;No;No;Yes
Screencast over USB;4.4+ over USB, for prior versions root required for 3rd party app;8+: on OS X;No;?;No
Screen share;On select devices using vendor's implementation;3rd party software;No;No;No
