;Trident;Gecko;WebKit;KHTML;Presto;Prince XML;Antenna House
XLink;5.0;Partial;No;No;Partial;Partial;Partial
XML Base;No;1.0;No;Yes;Yes;6.0;Yes
XPointer;?;Partial;No;No;No;?;No
