File manager;Symbolic links;Browse compressed folders;Slideshows;Shows combined Size of Selected Directories;Branch Sizes;Directory Compare;Synchronizer;Find as you type (Type-ahead find);Embedded/Integrated Terminal;For Directories, size column shows:
Altap Salamander;?;Yes;No;Yes;?;Yes;Partial (for remote folders);Yes;Yes;DIR
Commander One;Yes;Yes;No;Yes;?;No;No;Yes;Yes, in the PRO Pack;DIR and Total size including subdirectories
CRAX Commander;Yes;Yes;?;Yes;Yes;Yes;No;Yes;No;DIR and Total size including subdirectories
Directory Opus;Yes;Yes;?;Yes;Yes;Yes;Yes;Yes;Yes;DIR and Total size including subdirectories
Dired;?;Yes;No;No;?;?;?;Yes;Yes;Literal
Documents by Readdle;;;;;;;;;;
DOS Navigator;No;Yes;No;Yes;?;Yes;?;Yes;Yes;Total size including subdirectories
Dolphin;?;Yes;No;Yes;No;No;No;Yes;Yes;Number of entries
Double Commander;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;DIR
emelFM2;?;?;No;Yes;?;Yes;?;Yes;Yes;Literal
FAR Manager;Yes;Yes;Partial;Yes;Yes;Yes;Partial;Yes;Yes;?
File Commander;?;Yes;No;Yes;Yes;Yes;Yes;Yes;?;?
Files (Apple);;;;;;;;;;
Files by Google;;;;;;;;;;
Finder;?;No;Yes;Yes;?;No;No;Yes;No;Yes
ForkLift;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes;Yes;DIR and Total size including subdirectories
GNOME Commander;?;No;No;Yes;Yes;Yes;Yes;Yes;Yes;?
Konqueror;Yes;Yes;Yes;Yes (with konq-plugin);Yes;Yes (with kdiff3 plugin);Yes (with kdiff3 plugin);Yes;Yes;Folder only size (default) selectable to file count/total size
Krusader;?;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;?
Midnight Commander;Yes;Yes;?;Yes;?;Yes;Yes;Yes;Yes;?
muCommander;No;?;?;?;?;?;Yes;?;Partial, command execution only;?
GNOME Files (Nautilus);?;No;No;Yes;No;No;No;Yes;Yes, With Plugin;Number of entries
Nemo;?;?;?;?;?;?;?;?;Yes, with nemo-terminal extension
Nomad.NET;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes, via Plugin;DIR and Total size including subdirectories
Path Finder;?;No;Yes;Partial;?;No;No;Yes;Yes;Yes
PCManFM;?;Yes;No;Yes;Yes;No;?;Yes;No, but there is a fork attempt;Nothing
ROX-Filer;?;No;No;Yes;?;No;?;Yes, and browsing with tab completion;No;Nothing
Thunar;?;No;?;Yes;?;No;No;Yes;No;Literal*
Total Commander;Yes;Yes;Yes In plugin;Yes;Yes;Yes;Yes;Yes;Yes;DIR and Total size including subdirectories
Windows Explorer;Partial;Yes;Yes;Yes (in folder tooltips);Partial;No;Yes;Yes;No;?
Xandros File Manager;?;?;?;?;?;?;?;?;No;?
Xfe;Yes;No;No;Yes;?;Yes;?;No;No;?
Xfile;?;?;?;?;?;?;?;?;No;?
Xfm;?;?;?;?;?;?;?;?;No;?
xplorer²;?;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;?
XYplorer;Yes;Yes;Yes;Yes;Yes;Yes;Partial;Yes;Yes;Contents including subs
ZTreeWin;?;Yes;No;Yes;Yes;Yes;No;Yes;?;Selectable: Number of entries or Size (Optional: Including subs)
File manager;Symbolic links;Browse compressed folders;Slideshows;Shows combined Size of Selected Directories;Branch Sizes;Directory Compare;Synchronizer;Find as you type (Type-ahead find);Embedded/Integrated Terminal;For Directories, size column shows:
