Model (codename);Release Date & Price;Architecture & Fab;Transistors & Die Size;Core;Core;Fillrate;Fillrate;Processing power (GFLOPS);Processing power (GFLOPS);Processing power (GFLOPS);Memory;Memory;Memory;Memory;TBP;Bus interface
Model (codename);Release Date & Price;Architecture & Fab;Transistors & Die Size;Config;Clock (MHz);Texture (GT/s);Pixel (GP/s);Half;Single;Double;Bus type & width;Size (GiB);Clock (MT/s);Bandwidth (GB/s);TBP;Bus interface
Radeon VII (Vega 20);February 7, 2019 $699 USD;GCN 5 gen TSMC 7FF;13.2×10 331 mm;3840:240:64 60 CU;1400 1750;336 420;89.6 112;22,272 27,648;11,136 13,824;2,784 3,458.5;HBM2 4096-bit;16;2000;1028;300 W;PCIe 3.0 x16
