;Server OS support;Server OS support;Server OS support;Features;Features;Features;Features;Features;Features;Features;Features;Features;Features;Features;Features;Storage;Storage;Users
Mail server;Linux/ Unix;Windows;Mac OS;SMTP;POP3;IMAP;JMAP;IMAP IDLE;SMTP over TLS;POP over TLS;IPv6;SSL;DANE;Webmail;ActiveSync;Sieve;Database;Filesystem;Other;IDN/UTF8;License
Oracle Communications Messaging Server;Yes;No;No;Yes;Yes;Yes;?;?;Yes;Yes;?;Yes;?;Yes;No;?;Yes;Yes;No;Yes;Proprietary
Postfix;Yes;No;Yes;Yes;Dovecot, UW IMAP;Dovecot, UW IMAP;?;Dovecot, UW IMAP;Yes;No;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;IBM Public License
qmail;Yes;No;Yes;Yes;Yes;Dovecot, UW IMAP;?;Dovecot, UW IMAP;No;Dovecot, UW IMAP;via Qsmtp;No;No;No;No;?;(cdb);Yes;No;?;Public domain
Qpopper;Yes;Yes (via Cygwin);Yes;No;Yes;No;?;No;No;Yes;?;Yes;?;No;No;?;No;Yes;Yes;?;BSD-style, GPL-incompatible
Scalix;Yes;?;?;Yes;Yes;Yes;?;Yes;Yes (via Stunnel);Yes (via Stunnel);?;Yes (via Stunnel);?;Yes;Yes;?;Yes;Yes;No;?;Proprietary with OSS parts, a community (Freeware) and 3 paid editions (SMB, Enterprise, Hosting)
Sendmail;Yes;No;Yes;Yes;Dovecot, UW IMAP;Dovecot, UW IMAP;?;Dovecot, UW IMAP;Yes;No;Yes;Yes;?;No;No;No;?;Yes;?;Yes;Sendmail License
SparkEngine;Yes;Yes;Yes;Yes;No;No;?;No;Yes;No;?;Yes;?;No;No;?;Yes;Yes;Yes;?;Proprietary
UW IMAP;Yes;Yes;Yes;No;Yes;Yes;?;Yes;No;Yes;Yes;Yes;No;WebPine;No;No;Yes (Indexes);Yes;No;?;Apache License 2.0
WinGate;No;Yes;No;Yes;Yes;Yes;?;Yes;Yes;Yes;No;Yes;?;Yes;No;?;No;Yes;No;?;Proprietary
Zarafa;Yes;No;No;External;Yes;Yes;?;Yes;External;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;No;?;AGPLv3, paid
Zentyal;Yes;No;No;Yes;Yes;Yes;?;Yes;Yes;Yes;No;Yes;?;Yes;Yes;?;Yes;Yes;No;?;GPLv2
Zimbra;Yes;No;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;ZPL and proprietary editions
Mail server;Linux/ Unix;Windows;Mac OS;SMTP;POP3;IMAP;JMAP;IMAP IDLE;SMTP over TLS;POP over TLS;IPv6;SSL;DANE;Webmail;ActiveSync;Sieve;Database;Filesystem;Other;IDN/UTF8;License
