;Trident;Gecko;WebKit;KHTML;Presto;Prince XML;Antenna House
XML namespace;5.0;1.0;?;Yes;1.0;5.1;Yes
xml:id;No;No;No;No;2.0;5.1;Yes
XML Events;No;1.8;?;?;1.0;?;No
XInclude;3.1;No;No;?;No;5.1;No
XML Fragment Interchange;?;?;?;?;?;?;No
Associating CSS;<3.1;1.0;419;Yes;1.0;Yes;Yes
