Model (Codename);Release Date & Price;Architecture & Fab;Transistors & Die Size;Core;Core;Fillrate;Fillrate;Processing power (GFLOPS);Processing power (GFLOPS);Memory;Memory;Memory;Memory;TBP;Bus interface
Model (Codename);Release Date & Price;Architecture & Fab;Transistors & Die Size;Config;Clock (MHz);Texture (GT/s);Pixel (GP/s);Single;Double;Bus type & width;Size (GiB);Clock (MT/s);Band- width (GB/s);TBP;Bus interface
Radeon R5 430 (Oland Pro);June 2016 OEM;GCN 1 gen 28 nm;1040×10 90 mm;384:24:8 6 CU;730 780;17.52 18.72;5.84 6.24;560 599;37.4 40;DDR3 GDDR5 128-bit;1 2;1800 4500;28.8 72;50 W;PCIe 3.0 ×8
Radeon R5 435 (Oland);June 2016 OEM;GCN 1 gen 28 nm;1040×10 90 mm;320:20:8 5 CU;1030;20.6;8.24;659;41.2;DDR3 64-bit;2;2000;16;50 W;PCIe 3.0 ×8
Radeon R7 430 (Oland Pro);June 2016 OEM;GCN 1 gen 28 nm;1040×10 90 mm;384:24:8 6 CU;730 780;17.52 18.72;5.84 6.24;560 599;37.4 40;DDR3 GDDR5 128-bit;1 2 4;1800 4500;28.8 72;50 W;PCIe 3.0 ×8
Radeon R7 435 (Oland);June 2016 OEM;GCN 1 gen 28 nm;1040×10 90 mm;320:20:8 5 CU;920;18.4;7.36;589;36.8;DDR3 64-bit;2;2000;16;50 W;PCIe 3.0 ×8
Radeon R7 450 (Cape Verde Pro);June 2016 OEM;GCN 1 gen 28 nm;1500×10 123 mm;512:32:16 8 CU;1050;33.6;16.8;1075;65.2;GDDR5 128-bit;2;4500;72;65 W;PCIe 3.0 ×16
Radeon RX 455 (Bonaire Pro);June 2016 OEM;GCN 2 gen 28 nm;2080×10 160 mm;768:48:16 12 CU;1050;50.4;16.8;1613;100.8;GDDR5 128-bit;2;6500;104;100 W;PCIe 3.0 ×16
Radeon RX 460 (Baffin);August 2016 $109 USD(2 GB) $139 USD(4 GB);GCN 4 gen Samsung/GloFo 14LPP;3000×10 123 mm;896:56:16 14 CU;1090 1200;61 67.2;17.4 19.2;1953 2150;122 132;GDDR5 128-bit;2 4;7000;112;<75 W;PCIe 3.0 x8
Radeon RX 470D (Ellesmere);October 2016 CNY ¥1299 (China Only);GCN 4 gen Samsung/GloFo 14LPP;5700×10 232 mm;1792:112:32 28 CU;926 1206;103.7 135.1;29.6 38.6;3319 4322;207 270;GDDR5 256-bit;4;7000;224;120 W;PCIe 3.0 ×16
Radeon RX 470 (Ellesmere Pro);August 2016 $179 USD;GCN 4 gen Samsung/GloFo 14LPP;5700×10 232 mm;2048:128:32 32 CU;926 1206;118.5 154.4;29.6 38.6;3793 4940;237 309;GDDR5 256-bit;4 8;6600;211;120 W;PCIe 3.0 ×16
Radeon RX 480 (Ellesmere XT);June 2016 $199 USD (4 GB) $239 USD (8 GB);GCN 4 gen Samsung/GloFo 14LPP;5700×10 232 mm;2304:144:32 36 CU;1120 1266;161.3 182.3;35.8 40.5;5161 5834;323 365;GDDR5 256-bit;4 8;7000 8000;224 256;150 W;PCIe 3.0 ×16
