Engine;Origin;Designer;Vehicle;Use;Propellant;Specific impulse (s);Thrust (N);Mass (kg);Thrust:weight ratio;Chamber pressure (bar);Oxidiser:fuel ratio
Aestus;Europe;Airbus Defence and Space;Ariane 5 G, G+, ES;Upper;NO / MMH;324;30,000;111;27.6;11;1.9
Aestus II;Europe;Airbus Defence and Space;Ariane 5;Upper;NO / MMH;340;55,400;138;41.0;60;1.9
F-1;USA;Rocketdyne;Saturn V;1st;RP-1 / LOX;304 263 (SL);7,770,000 6,770,000 (SL);8,391;82.27;70;2.27
F-1A;USA;Rocketdyne;;1st;RP-1 / LOX;303 270 (SL);8,989,000 8,007,000 (SL);9,015;90.6;80;2.27
AJ-260-2;USA;Aerojet;S-I stage replacement (proposed);1st;PBAN;263s;26,183,755;831,345 with fuel;;;
Gamma 2;United Kingdom;Bristol Siddeley;Black Arrow;2nd;RP-1 / HO;265;68,200;173;40.22;;8
Gamma 8;United Kingdom;Bristol Siddeley;Black Arrow;1st;RP-1 / HO;265;234,800;342;70.01;47.40;8
HM-7A;Europe;Snecma;Ariane 1;3rd;LH / LOX;443 308 (SL);61,700;149;42.2;30;5
J-2;USA;Rocketdyne;Saturn V Saturn IB;2nd, 3rd;LH / LOX;421 200 (SL);1,033,100 486,200 (SL);1,438;73.18;30;5.5
J-2X;USA;Pratt & Whitney Rocketdyne;SLS(proposed);Upper;LH / LOX;448;1,310,000;2,470;58.41;95;5.5–4.5
Kestrel;USA;SpaceX;Falcon 1;Upper;RP-1 / LOX;317;31,000;52;65;9.3;
LE-5;Japan;Mitsubishi NASDA;H-I;Upper;LH / LOX;450;103,000;245;42.87;36.0;5.5
LE-5A;Japan;Mitsubishi NASDA;H-II;Upper;LH / LOX;452;121,500;242;51.19;40.0;5
LE-7;Japan;Mitsubishi NASDA;H-II;1st;LH / LOX;446;1,078,000 843,500 (SL);1,714;64.13;127;5.9
Merlin 1C;USA;SpaceX;Falcon 1 Falcon 9;1st, 2nd;RP-1 / LOX;304 266 (SL);480,408 422,581 (SL);630;92;67.7;
Merlin 1D;USA;SpaceX;Falcon 9 v1.1;1st;RP-1 / LOX;311 282 (SL);723,000;470;158;97;2.34
Merlin Vacuum 1C;USA;SpaceX;Falcon 1 Falcon 9;2nd;RP-1 / LOX;336;413,644;;92;;
