Model;Memory slots;Memory Max;User-replaceable HDD/SSD?;HDD/SSD bays;Expansion slots
Mac Mini;No;16 GB;No;1;No
iMac;None (21.5"), 4 (27");16 GB (21.5"), 64 GB (27");No;1;No
Mac Pro;4;64 GB;No;1;No
MacBook Air;No;8 GB;No;1;No
MacBook;No;16 GB;No;No;No
MacBook Pro (2017);No;16 GB;No;No;No
MacBook Pro (2015);No;16 GB;No;1;No
