;Trident;edgeHTML;Gecko;WebKit;Presto
Ogg Theora;Manual install;;1.9.1;Depends;2.5
H.264;5.0;;33.0;Depends (525);Depends
WebM VP8;Manual install;Yes;2.0;Depends (534);2.6.30
