File manager;SMB/CIFS;WebDAV;NFS;AFP;FTP;FISH/SSH
Altap Salamander;Yes;No;Yes;No;Yes;Yes
Commander One;Yes;Yes;Yes;Yes;Yes;Yes
CRAX Commander;Yes;Yes;Yes;Yes;Yes;Yes
Directory Opus;Yes;Yes;Yes;No;Yes;Yes (SFTP & SSL)
Dired;Yes;Yes;Yes;No;Yes;Yes
Documents by Readdle;;;;;;
Dolphin;Yes;Yes;Yes;?;Yes;Yes
Double Commander;Yes;?;?;?;Yes;?
emelFM2;?;?;?;?;No;?
Far Manager;Yes;Partial;Partial;No;Yes;Yes
File Commander;Yes;Partial;Partial;No;Partial;Partial
File Manager;?;?;?;?;?;?
Files (Apple);;;;;;
Files by Google;;;;;;
Finder;Yes;Yes;Yes;Yes;Partial;No
ForkLift;Yes;Yes;Yes;Yes;Yes;Yes
GNOME Commander;Yes;Yes;Yes;No;Yes;Yes
Konqueror;Yes;Yes;Yes;Yes;Yes;Yes
Krusader;Yes;Yes;Yes;No;Yes;Yes
muCommander;Yes;?;Yes;?;Yes;Yes
Midnight Commander;Yes;No;Yes;No;Yes;Yes
GNOME Files (Nautilus);Yes;Yes;Yes;Yes;Yes;Yes
Nemo;Yes;?;?;?;Yes;Yes
Nomad.NET;Yes;No;No;No;Yes;No
Path Finder;Yes;Yes;Yes;Yes;Yes (Read Access);No
PCManFM;Yes;?;?;?;?;?
ROX-Filer;Yes;Yes;Yes;Yes;Yes;Yes
Total Commander;Yes;Yes;Partial;No;Yes;Yes
Thunar;Yes;Yes;Yes;No;Yes;Yes
Windows Explorer;Yes;Yes;Yes;No;Yes;No
Xandros File Manager;?;?;?;?;?;?
Xfe;?;?;?;?;?;?
Xfm;?;?;?;?;?;?
xplorer²;Yes;Yes;Partial;No;Yes;No
XYplorer;Yes;Yes;Yes;No;Yes;No
ZTreeWin;Yes;Partial;Partial;No;Partial;Partial
File manager;SMB/CIFS;WebDAV;NFS;AFP;FTP;FISH/SSH
