Kernel name;Linux;Darwin;Windows NT;FreeBSD;NetBSD;Solaris;OSF/1;Amiga Unix;SunOS;BSD/OS;IBCS2 systems;IRIX;Ultrix;NDIS;SVR4
FreeBSD kernel;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;Yes
Linux kernel;Yes;No;(Longene);Yes;Yes;No;No;No;No;No;No;No;No;No;No
NetBSD kernel;Yes;No? [3]?;No? [4]?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes [5];Yes
OpenBSD kernel;Yes;No;No;Yes;Yes;Yes;No;No;Yes;?;?;?;?;No;Yes
Windows NT kernel;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No
ReactOS kernel;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No
XNU;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
Kernel name;Linux;Darwin;Windows NT;FreeBSD;NetBSD;Solaris;OSF/1;Amiga Unix;SunOS;BSD/OS;IBCS2 systems;IRIX;Ultrix;NDIS;SVR4
