Model (codename);Release Date & Price;Architecture & Fab;Transistors & Die Size;Core;Core;Fillrate;Fillrate;Processing power (GFLOPS);Processing power (GFLOPS);Memory;Memory;Memory;Memory;TBP;Bus interface
Model (codename);Release Date & Price;Architecture & Fab;Transistors & Die Size;Config;Clock (MHz);Texture (GT/s);Pixel (GP/s);Single;Double;Bus type & width;Size (MiB);Clock (MT/s);Band- width (GB/s);TBP;Bus interface
Radeon R5 220 (Caicos Pro);December 21, 2013 OEM;Terascale 2 40 nm;370×10 67 mm;80:8:4;625 650;5;2.5;200;N/A;DDR3 64-bit;1024;1066;8.53;18 W;PCIe 2.1 ×16
Radeon R5 230 (Caicos Pro);April 3, 2014 ?;Terascale 2 40 nm;370×10 67 mm;160:8:4;625;5;2.5;200;N/A;DDR3 64-bit;1024 2048;1066;8.53;19 W;PCIe 2.1 ×16
Radeon R5 235 (Caicos XT);December 21, 2013 OEM;Terascale 2 40 nm;370×10 67 mm;160:8:4;775;6.2;3.1;248;N/A;DDR3 64-bit;1024;1800;14.4;35 W;PCIe 2.1 ×16
Radeon R5 235X (Caicos XT);December 21, 2013 OEM;Terascale 2 40 nm;370×10 67 mm;160:8:4;875;7.0;3.5;280;N/A;DDR3 64-bit;1024;1800;14.4;18 W;PCIe 2.1 ×16
Radeon R5 240 (Oland);November 1, 2013 OEM;GCN 1 gen 28 nm;1040×10 90 mm;384:24:8;730 780;14.6;5.84;560.6 599;29.2;DDR3 GDDR3 64-bit;1024 2048;1800 2000;28.8 16.0;30 W;PCIe 3.0 ×8
Radeon R7 240 (Oland Pro);August 8, 2013 US $69;GCN 1 gen 28 nm;1040×10 90 mm;320:20:8;730 780;14.6;5.84;467.2 499.2;29.2;DDR3 GDDR5 128-bit;2048 4096;1800 4500;28.8 72;30 W, <45 W (4 GB);PCIe 3.0 ×8
Radeon R7 250 (Oland XT);August 8, 2013 US $89;GCN 1 gen 28 nm;1040×10 90 mm;384:24:8;1000 (1050);24;8;768 806.4;48;DDR3 GDDR5 128-bit;1024 2048;1800 4600;73.6;75 W;PCIe 3.0 ×8
Radeon R7 250E (Cape Verde Pro);December 21, 2013 US $109;GCN 1 gen 28 nm;1500×10 123 mm;512:32:16;800;25.6;12.8;819.2;51.2;GDDR5 128-bit;1024 2048;4500;72;55 W;PCIe 3.0 ×16
Radeon R7 250X (Cape Verde XT);February 10, 2014 US $99;GCN 1 gen 28 nm;1500×10 123 mm;640:40:16;1000;40;16;1280;80;GDDR5 128-bit;1024 2048;4500;72;95 W;PCIe 3.0 ×16
Radeon R7 260 (Bonaire);December 17, 2013 US $109;GCN 2 gen 28 nm;2080×10 160 mm;768:48:16;1000;48;16;1536;96;GDDR5 128-bit;1024;6000;96;95 W;PCIe 3.0 ×16
Radeon R7 260X (Bonaire XTX);August 8, 2013 US $139;GCN 2 gen 28 nm;2080×10 160 mm;896:56:16;1100;61.6;17.6;1971.2;123.2;GDDR5 128-bit;1024 2048;6500;104;115 W;PCIe 3.0 ×16
Radeon R7 265 (Pitcairn Pro);February 13, 2014 US $149;GCN 1 gen 28 nm;2800×10 212 mm;1024:64:32;900 925;57.6;28.8;1843.2;115.2;GDDR5 256-bit;2048;5600;179.2;150 W;PCIe 3.0 ×16
Radeon R9 270 (Pitcairn XT);November 13, 2013 US $179;GCN 1 gen 28 nm;2800×10 212 mm;1280:80:32;900 925;72;28.8;2304 2368;144 148;GDDR5 256-bit;2048;5600;179.2;150 W;PCIe 3.0 ×16
