;Trident;Tasman;Gecko;WebKit;KHTML;Presto;iCab
b;<3.1;Yes;Yes;Yes;Yes;Yes;Yes
big;<3.1;Yes;Yes;Yes;Yes;Yes;Yes
hr;<3.1;Yes;Yes;Yes;Yes;Yes;Yes
i;<3.1;Yes;Yes;Yes;Yes;Yes;Yes
small;<3.1;Yes;Yes;Yes;Yes;Yes;Yes
sub;<3.1;Yes;Yes;Yes;Yes;Yes;Yes
sup;<3.1;Yes;Yes;Yes;Yes;Yes;Yes
tt;Yes;Yes;Yes;Yes;Yes;Yes;Yes
