;;Trident;EdgeHTML;Gecko;WebKit;Blink;KHTML;Presto
Color mode;True color;3.1;Yes;1.0;85;Yes;Yes;1.0
Color mode;Grayscale;3.1;Yes;1.0;85;Yes;Yes;1.0
Color mode;Palette-based;3.1;Yes;1.0;85;Yes;Yes;1.0
Alpha channel;Alpha channel;3.1;Yes;1.0;85;Yes;Yes;1.0
Gamma correction;Gamma correction;5.0;Yes;3.5;Incorrect;?;No;Partial
Color correction;Color correction;5.0;Yes;1.9;?;?;?;No
Interlacing;Interlacing;Incorrect;?;1.0;?;?;4.0;1.0
