;;;Trident;Gecko;WebKit;Blink;Presto;KHTML;Prince;Amaya;Batik;Renesis;LeonLabs
SVG;1.1;Tiny (SVGT);5.0;Partial;Partial;Partial;1.0;Partial;Partial;Partial;Mostly;Partial;Partial
SVG;1.1;Basic (SVGB);5.0;Partial;Partial;Partial;Mostly;Partial;Partial;Partial;Mostly;Partial;Partial
SVG;1.1;Full;5.0;Partial;Partial;Partial;Mostly;Partial;Partial;Partial;Mostly;Partial;Partial
SVG;1.2;Tiny;No;No;No;No;2.1;No;?;?;Partial;Partial;Partial
SVG;1.2;Full;No;No;No;No;No;No;No;No;No;No;No
sXBL;sXBL;sXBL;No;No;No;No;No;No;No;No;Yes;No;No
XBL 2.0;XBL 2.0;XBL 2.0;No;No;No;No;No;No;No;No;No;No;No
