;Trident;Gecko;WebKit;KHTML;Presto;Prince XML;Antenna House
XPath 1.0;Yes;1.8;Yes;4.8;2.0;?;Depends
XPath 2.0;No;No;?;?;?;?;Depends
XPath 3.0;?;?;?;?;?;?;?
XPath 3.1;?;?;?;?;?;?;?
XQuery;?;No;No;?;No;?;No
