 Name ; Parsing algorithm ; Input grammar notation ; Boolean grammar abilities ; Development platform ; License 
 LuZc ; delta chain ; modular ; Conjunctive, not complimentary ; POSIX ; Proprietary 
 bnf2xml ; Recursive descent (is a text filter output is xml) ; simple BNFdate=January 2018 grammar (input matching), output is xml ; ? ; Beta, and not a full EBNF parser ; Free, GNU GPL 
