 Client ; Windows 7, Vista ; XP, 2000 ; NT 4.0 ; NT 3.x ; Me, 98 ; 95 ; 3.1x ; ReactOS ; macOS (Intel/PPC) ; OS 9 ; OS 8 ; System 7 (PPC/68k) ; BeOS, Haiku ; OS/2, eCS, ArcaOS ; AmigaOS (68k) ; AmigaOS 4, MorphOS (PPC) ; DOS 
 rh| KVIrc ; yes ; yes ; yes ; no ; yes ; no ; no ; yesConnect to the ReactOS IRC Channels ; yes ; yes ; no ; no ; no ; yes2012-07-03: 4.2.0 Released! ; no ; no ; no 
 rh| LeafChat ; Yes ; Yes ; no ; no ; no ; no ; no ; no ; Yes ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| LimeChat ; no ; no ; no ; no ; no ; no ; no ; no ; yesgroup=Note ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| Linkinus ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| Mibbit ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no 
 rh| mIRC ; yes ; yes ; yes ; partial ; yes ; yes ; partial ; dunno ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| Nettalk ; yes ; yes ; dunno ; no ; partialgroup=Note ; no ; no ; dunno ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| Opera ; yes ; yes ; dropped (10.10) ; no ; dropped ; dropped ; dropped ; no{{cite web|url= compatibility database: Opera|accessdate=2010-01-05|url-status=dead|archiveurl= ; dropped ; dropped ; dropped ; no ; dropped ; dropped ; no ; no ; no 
 rh| PIRCH ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; dunno ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| PJIRC ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; no ; no ; yes ; yes ; no ; no ; no ; no 
 rh| Quassel ; yes ; yes ; no ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; no ; no ; no 
 rh| qwebirc ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no 
 rh| rIRC ; yes ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| rcirc ; yes ; yes ; dunno ; dunno ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| Scrollback ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no 
 rh| Smuxi ; yes ; yes ; no ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| Snak ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; yes ; yes ; dunno ; no ; no ; no ; no ; no 
 rh| Visual IRC ; yes ; yes ; yes ; no ; yes ; yes ; no ; dunno ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 rh| WeeChat ; partial ; partial ; partial ; no ; partial ; partial ; no ; dunno ; yes ; no ; no ; no ; partial ; no ; no ; no ; no 
 Client ; Windows 7, Vista ; XP, 2000 ; NT 4.0 ; NT 3.x ; Me, 98 ; 95 ; 3.1x ; ReactOS ; OS X (Intel/PPC) ; OS 9 ; OS 8 ; System 7 (PPC/68k) ; BeOS, Haiku ; OS/2, eCS ; AmigaOS (68k) ; AmigaOS 4, MorphOS (PPC) ; DOS 
