 Title ; Publisher ; First published ; Latest edition ; Year ; Pages ; Entries (approx.) ; Main dialect ; Pronunciation guide 
 American Heritage College Dictionary ; Houghton Mifflin Harcourt ; 2002 ; 4thThe 2010 "4th edition" of The American Heritage College Dictionary (0-547-24766-4) is the second revision of the original "4th edition" published in 2002, it was originally derived from the 4th edition of The American Heritage Dictionary of the English Language, which was published in 2000. (0-547-24766-4) ; 2010 ; formatnum:1664 ;  ; American ; Diacritical 
 Merriam-Webster's Collegiate Dictionary ; Merriam-Webster ; 1898 ; 11th (0-8777-9809-5) ; 2003 ; formatnum:1664 ; formatnum:165000 ; American ; Diacritical 
 Webster's New World College Dictionary ; Houghton Mifflin Harcourt ; 1953 ; 5th ; 2014 ; formatnum:1736 ; formatnum:163000 ; American ; Diacritical 
