 Irish ; English ; Scottish Gaelic ; English ; Notes 
 cuan ; harbour ; cuan ; ocean ;Anumberofwordsareusedinbothlanguagesfor "ocean"and "sea",suchas ''aigéan''/''aigeun'', ''an fharraige''. Caladh or cala (also in the compound "calafort" < "cala-phort") are commonly used in Irish for "harbour". 
 An Bhreatain Bheag ; Wales  ; A' Bhreatain Bheag ; Brittany ;  Breatain (Britain) is the same in both. The Scottish Gaelic equivalent for Wales is A' Chuimrigh, a Gaelicisation of an Anglicisation of the Welsh Cymru. The Irish for Brittany is An Bhriotáin from Latin "Britannia". 
 shiúil sé ; He walked ; shiubhail e ; He died ;  Siubhail means "walk" or "stroll" in Scottish Gaelic, but is also a euphemism for death 
