 ; R-/R+ tree ; Hash ; Expression ; Partial ; Reverse ; Bitmap ; GiST ; GIN ; Full-text ; Spatial ; FOT ; Duplicate index prevention 
 Pervasive PSQL ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 Polyhedra DBMS ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; dunno ; no 
 PostgreSQL ; yes ; yes ; yes ; yes ; yes7 ; yes ; yes ; yes ; yes{{Citation ; publisher = PostgreSQL community ; series    = Documentation ; url       =  ; title     = Full Text Search  ; PostGIS{{Citation ; publisher = PostGIS PSC ; series    = PostGIS ; chapter-url       =  ; title     = Manual ; chapter   = 4  ; dunno ; no 
 Raima Database Manager ; yes ; yes ; no ; yes ; yes ; no ; no ; no ; no ; yes ; no ; no 
 RDM Server ; no ; no ; no ; yes ; yes ; no ; no ; no ; no ; no ; no ; no 
 SAP HANA ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; no 
 solidDB ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no 
 SQL Anywhere ; no ; no ; yes ; no ; no ; no ; no ; no ; yes ; yes ; dunno ; yes 
 SQLite ; yesThe SQLite R*Tree Module ; no ; yesSQLite Expression Indexes ; yes ; no ; no ; no ; no ; yesSQLite FTS3 Extension ; SpatiaLite{{Citation ; url       =  ; publisher = Gaia GIS 2.3.1 ; place     = IT ; title     = SpatiaLite  ; dunno ; no 
 SQream DB ; dunno ; dunno ; dunno ; dunno ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; no 
 Teradata ; no ; yes ; yes ; yes ; no ; yes ; no ; no ; dunno{{Citation ; url       =  ; publisher = Teradata ; series    = Online Publications ; title     = Full-Text Search  ; dunno ; dunno ; no 
 UniVerse ; yes ; yes ; yes3 ; yes3 ; yes3 ; no ; no ; no ; dunno ; yesgeospatial ; dunno ; no 
 ; R-/R+ tree ; Hash ; Expression ; Partial ; Reverse ; Bitmap ; GiST ; GIN ; Full-text ; Spatial ; FOT ; Duplicate index prevention 
