John McCain ;John McCain ;Barack Obama ;Barack Obama 
McCain is against government regulation of network neutrality unless evidence of abuse exists. He is quoted in May 2007 as saying, "let's see how this thing all turns out, rather than anticipate a problem that so far has not arisen in any significant way,"Roy Mark, "John McCain, A Republican Tech Record", eweek.com, November 21, 2007 and, "When you control the pipe you should be able to get profit from your investment."John Paczkowski, "Sen. John McCain", The Wall Street Journal, May 29, 2007McCain Opposes Net Neutrality date=February 6, 2008 , newsmax.com, June 3, 2007 ;McCain is against government regulation of network neutrality unless evidence of abuse exists. He is quoted in May 2007 as saying, "let's see how this thing all turns out, rather than anticipate a problem that so far has not arisen in any significant way,"Roy Mark, "John McCain, A Republican Tech Record", eweek.com, November 21, 2007 and, "When you control the pipe you should be able to get profit from your investment."John Paczkowski, "Sen. John McCain", The Wall Street Journal, May 29, 2007McCain Opposes Net Neutrality date=February 6, 2008 , newsmax.com, June 3, 2007 ;Obama is "a strong supporter of Net neutrality," saying that regulations are required to prevent the telecom companies from changing "the internet as we know it." Promoting net neutrality would be a priority in his first year as president. ;Obama is "a strong supporter of Net neutrality," saying that regulations are required to prevent the telecom companies from changing "the internet as we know it." Promoting net neutrality would be a priority in his first year as president. 
 Chuck Baldwin ; Bob Barr ; Cynthia McKinney ; Ralph Nader 
 ; ;In June, 2006 McKinney voted for network neutrality. ;Strongly supports net neutrality. 
