 Driver family ; Driver ; Chipsets ; Chipset PHY Modes ; Integration in mainline ; Non-free firmware required'On Device' means firmware is stored in device at all times ; License ; Development 
 adm8211 ; adm8211 ; ADMtek ADM8211 (IEEE 802.11b MAC/BBP ; dunno ; Yes ; Yes ; GPLv2 ; With support from Infineon/ADMtek 
 at76c50x‑usb at76c50x‑usb ; at76c50x-USB ; Atmel AT76C503/AT76C505 based USB WLAN adapters ; dunno ; Yes ; Depends on the model ; GPLv2 ; dunno 
 ; acx100 ; Texas Instruments ACX100, ACX111, TNETW1450 ; dunno ; No ; Yes ; Dual BSD/MPL ; Reverse-engineered 
 airo ; airo ; Cisco Systems Aironet 4500/4800 and 340/350 ; b ; Yes ; No ; Dual GPLv2 and BSD ; dunno 
 ath ; ar5523 ; Qualcomm Atheros AR5523 based USB dongles ; dunno ; Yes ; Yes ; ISC ; Reverse-engineered 
 ath ; ath5k ; Qualcomm Atheros AR2413, AR2414, AR2417, AR2425, AR5210, AR5211, AR5212, AR5213, AR5413, AR5414, AR5423, AR5424 ; dunno ; Yes (since 2.6.25) ; n/aThe card doesn't have a host CPU and so it doesn't require a firmware source date=June 20, 2006  ; Dual GPL/BSD ; Reverse-engineered 
 ath ; ath6kl ; Qualcomm Atheros AR6003, AR6004 (SDIO), AR6004 (USB) ; dunno ; Yes ; Yes ; ISC ; Written by Qualcomm Atheros 
 ath ; ath9k ; Qualcomm Atheros chips with IEEE 802.11n support ; a/b/g/n ; Yes (since 2.6.27) ; n/a ; ISC ; Written by Qualcomm Atheros 
 ath ; ath9k_htc ; Qualcomm Atheros AR9271, AR7010 (USB-PCIe bridge with AR928x chips) ; b/g/n ; Yes (since 2.6.35) commit of ath10k to kernel 2.6.35 ; No ; ISC ; Written by Qualcomm Atheros 
 ath ; ath10k ; Qualcomm Atheros chips with IEEE 802.11ac support ; ac ; Yes (since 3.11) commit of ath10k to Kernel 3.11 ; YesThe chipsets do require a non-free firmware, as of 12/8/2013, volunteer developers should contact Luis R. Rodriguez, mcgrof at frijolero.org to help with changing this, code clean ups, and release ) ; ISC ; Written by Qualcomm Atheros 
 ath ; ath11k ; Qualcomm Atheros chips with IEEE 802.11ax support ; ax ; Yes (since 5.6) ath11k: driver for Qualcomm IEEE 802.11ax devices ; Yes[ The chipsets do require a non-free firmware ; ISC ; Written by Qualcomm Atheros 
