 Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ; Creator 
Geographical Original of Music Data Set ;Audio features of music samples from different locations. ;Audio features extracted using MARSYAS software. ;1,059 ;Text ;Geographical classification, clustering ;2014 ;Zhou, Fang, Q. Claire, and Ross D. King. "Predicting the geographical origin of music." Data Mining (ICDM), 2014 IEEE International Conference on. IEEE, 2014. hdl-access = free  ;F. Zhou et al. 
Million Song Dataset ;Audio features from one million different songs. ;Audio features extracted. ;1M ;Text ;Classification, clustering ;2011 ;Bertin-Mahieux, Thierry, et al. "The million song dataset." ISMIR 2011: Proceedings of the 12th International Society for Music Information Retrieval Conference, 24–28 October 2011, Miami, Florida. University of Miami, 2011. year = 2011  ;T. Bertin-Mahieux et al. 
MUSDB18 ;Multi-track popular music recordings  ;Raw audio ;150 ;MP4, WAV ;Source Separation ;2017 ; chapter=Music  ;Z. Rafii et. al. 
Free Music Archive ;Audio under Creative Commons from 100k songs (343 days, 1TiB) with a hierarchy of 161 genres, metadata, user data, free-form text. ;Raw audio and audio features. ;106,574 ;Text, MP3 ;Classification, recommendation ;2017 ;class=cs.SD ;M. Defferrard et al. 
Bach Choral Harmony Dataset ;Bach chorale chords. ;Audio features extracted. ;5665 ;Text ;Classification ;2014 ; pages = 1851–1880  doi-access = free  ;D. Radicioni et al. 
