 ; ; Trident ; Tasman ; Gecko ; WebKit ; KHTML ; Presto 
 rh| Interface CSSStyleSheet ; rh| Interface CSSStyleSheet ; rh| Interface CSSStyleSheet ; rh| Interface CSSStyleSheet ; rh| Interface CSSStyleSheet ; rh| Interface CSSStyleSheet ; rh| Interface CSSStyleSheet ; rh| Interface CSSStyleSheet 
 DOM2 ; ownerRule ; rowspan="4" no ; ? ; 1.0 ; ? ; ? ; 2.0 
 DOM2 ; cssRules ; yes ; 1.3 ; 1.0 ; ? ; 2.0 
 DOM2 ; insertRule() ; rowspan="2" no ; rowspan="2" no ; 1.0 ; ? ; 2.0 
 DOM2 ; deleteRule() ; ? ; 1.0 ; 2.0 
 rh| Interface StyleSheetList ; rh| Interface StyleSheetList ; rh| Interface StyleSheetList ; rh| Interface StyleSheetList ; rh| Interface StyleSheetList ; rh| Interface StyleSheetList ; rh| Interface StyleSheetList ; rh| Interface StyleSheetList 
 DOM2 ; length ; 6.0 ; ? ; 1.0 ; ? ; ? ; 2.0 
 DOM2 ; item() ; 6.0 ; ? ; 1.0 ; ? ; ? ; 2.0 
 rh| Interface CSSRuleList ; rh| Interface CSSRuleList ; rh| Interface CSSRuleList ; rh| Interface CSSRuleList ; rh| Interface CSSRuleList ; rh| Interface CSSRuleList ; rh| Interface CSSRuleList ; rh| Interface CSSRuleList 
 DOM2 ; length ; rowspan="2" no ; ? ; 1.0 ; ? ; ? ; 2.0 
 DOM2 ; item() ; ? ; ? ; 1.0 ; ? ; 2.0 
 rh| Interface CSSRule ; rh| Interface CSSRule ; rh| Interface CSSRule ; rh| Interface CSSRule ; rh| Interface CSSRule ; rh| Interface CSSRule ; rh| Interface CSSRule ; rh| Interface CSSRule 
 DOM2 ; type ; rowspan="4" no ; ? ; 1.0 ; ? ; ? ; 2.0 
 DOM2 ; cssText ; rowspan="2" yes ; ? ; 1.0 ; ? ; 2.0 
 DOM2 ; parentStyleSheet ; 1.3 ; ? ; 1.0 ; 2.0 
 DOM2 ; parentRule ; ? ; ? ; 1.0 ; ? ; 2.0 
 rh| Interface CSSStyleRule ; rh| Interface CSSStyleRule ; rh| Interface CSSStyleRule ; rh| Interface CSSStyleRule ; rh| Interface CSSStyleRule ; rh| Interface CSSStyleRule ; rh| Interface CSSStyleRule ; rh| Interface CSSStyleRule 
 DOM2 ; selectorText ; 6.0 ; yes ; 1.0 ; 1.3 ; ? ; 2.0 
 DOM2 ; style ; no ; ? ; 1.0 ; ? ; ? ; 2.0 
 rh| Interface CSSMediaRule ; rh| Interface CSSMediaRule ; rh| Interface CSSMediaRule ; rh| Interface CSSMediaRule ; rh| Interface CSSMediaRule ; rh| Interface CSSMediaRule ; rh| Interface CSSMediaRule ; rh| Interface CSSMediaRule 
 DOM2 ; media ; rowspan="4" no ; ? ; 1.0 ; ? ; ? ; 2.0 
 DOM2 ; cssRules ; ? ; ? ; 1.0 ; ? ; 2.0 
 DOM2 ; insertRule() ; ? ; ? ; 1.0 ; ? ; 2.0 
 DOM2 ; deleteRule() ; ? ; ? ; 1.0 ; ? ; 2.0 
 rh| Interface CSSFontFaceRule ; rh| Interface CSSFontFaceRule ; rh| Interface CSSFontFaceRule ; rh| Interface CSSFontFaceRule ; rh| Interface CSSFontFaceRule ; rh| Interface CSSFontFaceRule ; rh| Interface CSSFontFaceRule ; rh| Interface CSSFontFaceRule 
 DOM2 ; style ; no ; ? ; 1.9.1 publisher=Mozilla ; ? ; ? ; 2.0 
 rh| Interface CSSPageRule ; rh| Interface CSSPageRule ; rh| Interface CSSPageRule ; rh| Interface CSSPageRule ; rh| Interface CSSPageRule ; rh| Interface CSSPageRule ; rh| Interface CSSPageRule ; rh| Interface CSSPageRule 
 DOM2 ; selectorText ; rowspan="2" no ; ? ; rowspan="2" nopublisher=Mozilla ; ? ; ? ; 2.0 
 DOM2 ; style ; ? ; ? ; ? ; 2.0 
 rh| Interface CSSImportRule ; rh| Interface CSSImportRule ; rh| Interface CSSImportRule ; rh| Interface CSSImportRule ; rh| Interface CSSImportRule ; rh| Interface CSSImportRule ; rh| Interface CSSImportRule ; rh| Interface CSSImportRule 
 DOM2 ; href ; rowspan="3" no ; yes ; 1.0 ; 1.3 ; ? ; 2.0 
 DOM2 ; media ; ? ; ? ; 1.0 ; ? ; 2.0 
 DOM2 ; styleSheet ; ? ; ? ; 1.0 ; ? ; 2.0 
 rh| Interface CSSCharsetRule ; rh| Interface CSSCharsetRule ; rh| Interface CSSCharsetRule ; rh| Interface CSSCharsetRule ; rh| Interface CSSCharsetRule ; rh| Interface CSSCharsetRule ; rh| Interface CSSCharsetRule ; rh| Interface CSSCharsetRule 
 DOM2 ; encoding ; no ; ? ; 1.0 ; ? ; ? ; 2.0 
 rh| Interface CSSUnknownRule ; rh| Interface CSSUnknownRule ; rh| Interface CSSUnknownRule ; rh| Interface CSSUnknownRule ; rh| Interface CSSUnknownRule ; rh| Interface CSSUnknownRule ; rh| Interface CSSUnknownRule ; rh| Interface CSSUnknownRule 
 DOM2 ; (no properties) ; no ; ? ; nopublisher=Mozilla ; ? ; ? ; 2.0 
 rh| Interface CSSStyleDeclaration ; rh| Interface CSSStyleDeclaration ; rh| Interface CSSStyleDeclaration ; rh| Interface CSSStyleDeclaration ; rh| Interface CSSStyleDeclaration ; rh| Interface CSSStyleDeclaration ; rh| Interface CSSStyleDeclaration ; rh| Interface CSSStyleDeclaration 
 DOM2 ; cssText ; rowspan="9" no ; ? ; 1.0 ; ? ; ? ; 2.0 
