Model ; Material ; Color ; Width ; Height ; Depth ; Mass ; Photo 
 Mac Mini ;Aluminum ;Silver ;19.7cm / 7.7in ;3.6cm / 1.4in ;19.7cm / 7.7in ;1.18kg / 2.6lb ; 
iMac 21.5in ;Aluminum ;Silver, black border around screen ;52.8cm / 20.8in ;44.9cm / 17.7in ;17.5cm / 6.9in ;5.7kg / 12.5lb ; 
iMac 21.5in Retina Display ;Aluminum ;Silver, black border around screen ;52.8cm / 20.8in ;44.9cm / 17.7in ;17.5cm / 6.9in ;5.7kg / 12.5lb ; 
iMac 27in ;Aluminum ;Silver, black border around screen ;65.0cm / 25.6in ;51.6cm / 20.3in ;20.3cm / 8.0in ;9.54kg / 21.0lb ; 
Mac Pro ;Aluminum ;Black ;16.8cm / 6.6in ;25.2cm / 9.9in ;16.8cm / 6.6in ;5.0kg / 11.0lb ; 
MacBook Air ;Aluminum ;Silver ;32.5cm / 12.8in ;0.3-1.7cm / 0.11-0.68in ;22.7cm / 8.94in ;1.35kg / 2.9lb ; 
MacBook Pro 13in (2016) ;Aluminum ;Silver or Space Gray with black border around screen ;30.41cm / 11.97in ;1.49cm / 0.59in ;21.24cm / 8.36in ;1.37kg / 3.02lb 
MacBook Pro 15in (2016) ;Aluminum ;Silver or Space Gray with black border around screen ;34.93cm / 13.75in ;1.55cm / 0.61in ;24.07cm / 9.48in ;1.83kg / 4.02lb 
MacBook Pro 13in (2015) ;Aluminum ;Silver with black border around screen ;31.4cm / 12.35in ;1.8cm / 0.71in ;21.9cm / 8.62in ;1.58kg / 3.48lb 
MacBook Pro 15in (2015) ;Aluminum ;Silver with black border around screen ;35.89cm / 14.13in ;1.8cm / 0.71in ;24.71cm / 9.73in ;2.04kg / 4.49lb 
