Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
MovieTweetings ;Movie rating dataset  based on public and well-structured tweets ; ;~710,000 ;Text ;Classification, regression ;2018 ;Dooms, S. et al. "Movietweetings: a movie rating dataset collected from twitter, 2013. Available from ." ;S. Dooms 
Twitter100k ;Pairs of images and tweets ; ;100,000 ;Text and Images ;Cross-media retrieval ;2017 ;year=2017{{Cite web|url= ;Y. Hu, et al. 
Sentiment140 ;Tweet data from 2009 including original text, time stamp, user and sentiment. ;Classified using distant supervision from presence of emoticon in tweet. ;1,578,627 ;Tweets, comma, separated values ;Sentiment analysis ;2009 ; page = 12 Chikersal, Prerna, Soujanya Poria, and Erik Cambria. "SeNTU: sentiment analysis of tweets by combining a rule-based classifier with supervised learning." Proceedings of the International Workshop on Semantic Evaluation, SemEval. 2015. ;A. Go et al. 
ASU Twitter Dataset ;Twitter network data, not actual tweets. Shows connections between a large number of users. ;None. ;11,316,811 users, 85,331,846 connections ;Text ;Clustering, graph analysis ;2009 ;Zafarani, Reza, and Huan Liu. "Social computing data repository at ASU." School of Computing, Informatics and Decision Systems Engineering, Arizona State University (2009).Bisgin, Halil, Nitin Agarwal, and Xiaowei Xu. "Investigating homophily in online social networks." Web Intelligence and Intelligent Agent Technology (WI-IAT), 2010 IEEE/WIC/ACM International Conference on. Vol. 1. IEEE, 2010. ;R. Zafarani et al. 
SNAP Social Circles: Twitter Database ;Large Twitter network data. ;Node features, circles, and ego networks. ;1,768,149 ;Text ;Clustering, graph analysis ;2012 ; page = 2012  bibcode = 2014NatSR...4E6496S  ;J. McAuley et al. 
Twitter Dataset for Arabic Sentiment Analysis ;Arabic tweets. ;Samples hand-labeled as positive or negative. ;2000 ;Text ;Classification ;2014 ;Abdulla, N., et al. "Arabic sentiment analysis: Corpus-based and lexicon-based." Proceedings of the IEEE conference on Applied Electrical Engineering and Computing Technologies (AEECT). 2013.Abooraig, Raddad, et al. "On the automatic categorization of Arabic articles based on their political orientation." Third International Conference on Informatics Engineering and Information Science (ICIEIS2014). 2014. ;N. Abdulla 
Buzz in Social Media Dataset ;Data from Twitter and Tom's Hardware. This dataset focuses on specific buzz topics being discussed on those sites. ;Data is windowed so that the user can attempt to predict the events leading up to social media buzz. ;140,000 ;Text ;Regression, Classification ;2013 ;Kawala, François, et al. "Prédictions d'activité dans les réseaux sociaux en ligne." 4ième conférence sur les modèles et l'analyse des réseaux: Approches mathématiques et informatiques. 2013.year=2015 ;F. Kawala et al. 
Paraphrase and Semantic Similarity in Twitter (PIT) ;This dataset focuses on whether tweets have (almost) same meaning/information or not. Manually labeled.  ;tokenization, part-of-speech and named entity tagging ;18,762 ;Text ;Regression, Classification ;2015 ;Xu et al. "SemEval-2015 Task 1: Paraphrase and Semantic Similarity in Twitter (PIT)" Proceedings of the 9th International Workshop on Semantic Evaluation. 2015.Xu et al. "Extracting Lexically Divergent Paraphrases from Twitter" Transactions of the Association for Computational (TACL). 2014. ;Xu et al. 
Geoparse Twitter benchmark dataset ;This dataset contains tweets during different news events in different countries. Manually labeled location mentions. ;location annotations added to JSON metadata ;6,386 ;Tweets, JSON ;Classification, Information Extraction ;2014 ;{{cite journal|doi=10.1109/MIS.2013.126|title=Real-Time Crisis Mapping of Natural Disasters Using Social Media|journal=IEEE Intelligent Systems|volume=29|issue=2|pages=9–17|year=2014|last1=Middleton|first1=Stuart E|last2=Middleton|first2=Lee|last3=Modafferi|first3=Stefano|s2cid=15139204|url= Python PyPI library ;S.E. Middleton et al. 
