Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
Concrete Compressive Strength Dataset ;Dataset of concrete properties and compressive strength. ;Nine features are given for each sample. ;1030 ;Text ;Regression ;2007 ; doi=10.1016/s0008-8846(98)00165-3 bibcode = 2008ApSoC...8...79S  ;I. Yeh 
Concrete Slump Test Dataset ;Concrete slump flow given in terms of properties. ;Features of concrete given such as fly ash, water, etc. ;103 ;Text ;Regression ;2009 ;Yeh, I. "Modeling slump of concrete with fly ash and superplasticizer." Computers and Concrete5.6 (2008): 559–572. doi=10.1016/j.conbuildmat.2011.03.040 ;I. Yeh 
Musk Dataset ;Predict if a molecule, given the features, will be a musk or a non-musk. ;168 features given for each molecule. ;6598 ;Text ;Classification ;1994 ;Dietterich, Thomas G., et al. "A comparison of dynamic reposing and tangent distance for drug activity prediction." Advances in Neural Information Processing Systems (1994): 216–216. ;Arris Pharmaceutical Corp. 
Steel Plates Faults Dataset ;Steel plates of 7 different types. ;27 features given for each sample. ;1941 ;Text ;Classification ;2010 ;Buscema, Massimo, William J. Tastle, and Stefano Terzi. "Meta net: A new meta-classifier family."Data Mining Applications Using Artificial Adaptive Systems. Springer New York, 2013. 141–182. ;Semeion Research Center 
