 ; ; Trident ; Tasman ; Gecko ; WebKit ; KHTML ; Presto 
 rh| Exception DOMException ; rh| Exception DOMException ; rh| Exception DOMException ; rh| Exception DOMException ; rh| Exception DOMException ; rh| Exception DOMException ; rh| Exception DOMException ; rh| Exception DOMException 
 DOM1 ; code ; 5.0publisher=Microsoft ; ? ; 1.0 ; ? ; ? ; 1.0 
 rh| Interface DOMStringList ; rh| Interface DOMStringList ; rh| Interface DOMStringList ; rh| Interface DOMStringList ; rh| Interface DOMStringList ; rh| Interface DOMStringList ; rh| Interface DOMStringList ; rh| Interface DOMStringList 
 DOM3 ; length ; 6.0publisher=Microsoft ; rowspan="3" no ; 1.6 ; rowspan="3" no ; ? ; 2.0 
 DOM3 ; contains() ; 6.0publisher=Microsoft ; ? ; 1.6 ; 2.0 
 DOM3 ; item() ; 6.0publisher=Microsoft ; ? ; 1.6 ; 2.0 
 rh| Interface NameList ; rh| Interface NameList ; rh| Interface NameList ; rh| Interface NameList ; rh| Interface NameList ; rh| Interface NameList ; rh| Interface NameList ; rh| Interface NameList 
 DOM3 ; length ; rowspan="5" no ; rowspan="5" no ; 1.6 ; rowspan="5" no ; rowspan="5" no ; rowspan="5" no 
 DOM3 ; getName() ; 1.6 
 DOM3 ; getNamespaceURI() ; 1.6 
 DOM3 ; contains() ; 1.6 
 DOM3 ; containsNS() ; 1.6 
 rh| Interface DOMImplementationList ; rh| Interface DOMImplementationList ; rh| Interface DOMImplementationList ; rh| Interface DOMImplementationList ; rh| Interface DOMImplementationList ; rh| Interface DOMImplementationList ; rh| Interface DOMImplementationList ; rh| Interface DOMImplementationList 
 DOM3 ; length ; rowspan="2" no ; rowspan="2" no ; rowspan="2" no ; rowspan="2" no ; rowspan="2" no ; rowspan="2" no 
 DOM3 ; item() 
 rh| Interface DOMImplementationSource ; rh| Interface DOMImplementationSource ; rh| Interface DOMImplementationSource ; rh| Interface DOMImplementationSource ; rh| Interface DOMImplementationSource ; rh| Interface DOMImplementationSource ; rh| Interface DOMImplementationSource ; rh| Interface DOMImplementationSource 
 DOM3 ; getDOMImplementation() ; rowspan="2" no ; rowspan="2" no ; rowspan="2" no ; rowspan="2" no ; rowspan="2" no ; rowspan="2" no 
 DOM3 ; getDOMImplementationList() 
 rh| Interface DOMImplementation ; rh| Interface DOMImplementation ; rh| Interface DOMImplementation ; rh| Interface DOMImplementation ; rh| Interface DOMImplementation ; rh| Interface DOMImplementation ; rh| Interface DOMImplementation ; rh| Interface DOMImplementation 
 DOM1 ; hasFeature() ; 6.0 ; ? ; 1.0 ; rowspan="3" yes ; ? ; 1.0 
 DOM2 ; createDocumentType() ; 9.0publisher=Microsoft ; rowspan="3" no ; 1.0 ; ? ; 1.0 
 DOM2 ; createDocument() ; 9.0publisher=Microsoft ; ? ; 1.0 ; 1.0 
 DOM3 ; getFeature() ; no ; no ; no ; ? ; 1.0 
 rh| Interface DocumentFragment ; rh| Interface DocumentFragment ; rh| Interface DocumentFragment ; rh| Interface DocumentFragment ; rh| Interface DocumentFragment ; rh| Interface DocumentFragment ; rh| Interface DocumentFragment ; rh| Interface DocumentFragment 
 DOM1 ; (no properties) ; 6.0 ; no ; 1.0 ; ? ; ? ; 1.0 
 rh| Interface Document ; rh| Interface Document ; rh| Interface Document ; rh| Interface Document ; rh| Interface Document ; rh| Interface Document ; rh| Interface Document ; rh| Interface Document 
 DOM1 ; doctype ; 9.0 ; rowspan="7" yes ; partial ; rowspan="12" yes ; ? ; 1.0 
 DOM1 ; createElement() ; 4.0 ; 1.0 ; ? ; 1.0 
 DOM1 ; createTextNode() ; 5.0 ; 1.0 ; ? ; 1.0 
 DOM1 ; createAttribute() ; 6.0 ; 1.0 ; ? ; 1.0 
 DOM1 ; documentElement ; 5.0 ; 1.0 ; ? ; 1.0 
 DOM1 ; getElementsByTagName() ; 5.0 ; 1.0 ; ? ; 1.0 
 DOM1 ; implementation ; 6.0 ; 1.0 ; ? ; 1.0 
 DOM1 ; createDocumentFragment() ; 6.0 ; 1.0 ; rowspan="3" no ; ? ; 1.0 
 DOM1 ; createComment() ; 6.0 ; 1.0 ; ? ; 1.0 
 DOM1 ; createCDATASection() ; 9.0 ; 1.0 ; ? ; 1.0 
 DOM1 ; createProcessingInstruction() ; 9.0 ; ? ; 1.7 ; ? ; 1.0 
 DOM1 ; createEntityReference() ; no ; ? ; no  ; ? ; no 
 DOM2 ; importNode() ; 9.0 ; rowspan="4" no ; 1.0 ; rowspan="5" yes ; ? ; 1.0 
 DOM2 ; createElementNS() ; 9.0 ; ? ; 1.0 ; 1.0 
 DOM2 ; createAttributeNS() ; 9.0 ; ? ; 1.0 ; 1.0 
 DOM2 ; getElementsByTagNameNS() ; 9.0 ; ? ; 1.0 ; 1.0 
 DOM2 ; getElementById() ; 8.0 ; yes ; 1.0 ; ? ; 2.1 
 DOM3 ; adoptNode() ; 9.0 ; rowspan="10" no ; 1.7 ; yes ; ? ; 2.0 
 DOM3 ; inputEncoding ; 9.0 ; rowspan="9" no ; 1.7 ; ? ; rowspan="9" no 
 DOM3 ; xmlEncoding ; 9.0 ; ? ; 1.7 
 DOM3 ; xmlStandalone ; 9.0 ; ? ; 1.7 
 DOM3 ; xmlVersion ; 9.0 ; ? ; 1.7 
 DOM3 ; domConfig ; rowspan="5" no ; no ; ? 
 DOM3 ; strictErrorChecking ; 1.7 ; ? 
 DOM3 ; documentURI ; 1.7 ; ? 
 DOM3 ; normalizeDocument() ; 1.7 ; ? 
 DOM3 ; renameNode() ; 1.7 ; ? 
 rh| Interface Node ; rh| Interface Node ; rh| Interface Node ; rh| Interface Node ; rh| Interface Node ; rh| Interface Node ; rh| Interface Node ; rh| Interface Node 
 DOM1 ; nodeName ; 5.0 ; rowspan="17" yes ; 1.0 ; rowspan="17" yes ; ? ; 1.0 
 DOM1 ; nodeValue ; 5.0 ; ? ; 1.0 ; 1.0 
 DOM1 ; nodeType ; 5.0 ; ? ; 1.0 ; 1.0 
 DOM1 ; parentNode ; 5.0 ; ? ; 1.0 ; 1.0 
 DOM1 ; childNodes ; 5.0 ; ? ; 1.0 ; 1.0 
 DOM1 ; firstChild ; 5.0 ; ? ; 1.0 ; 1.0 
 DOM1 ; lastChild ; 5.0 ; ? ; 1.0 ; 1.0 
 DOM1 ; previousSibling ; 5.0 ; ? ; 1.0 ; 1.0 
 DOM1 ; nextSibling ; 5.0 ; ? ; 1.0 ; 1.0 
 DOM1 ; attributes ; 5.0 ; ? ; 1.0 ; 1.0 
 DOM1 ; cloneNode() ; 5.0 ; ? ; 1.0 ; 1.0 
 DOM1 ; insertBefore() ; 5.0 ; Partial ; ? ; 1.0 
 DOM1 ; replaceChild() ; 5.0 ; Partial ; ? ; 1.0 
 DOM1 ; removeChild() ; 5.0 ; Partial ; ? ; 1.0 
