 Name ; Windows ; MacOSX ; Linux ; BSD ; Android ; Price ; License ; Latest stable release ; Notes 
 Beyond TV ; Yes ; No ; No ; No ; No ; Discontinued ; Proprietary ; 4.9.3(Build6535)br=yes ; Not compatible with DVB tuners. While Snapstream is providing minor fixes for Beyond TV, they are no longer actively updating and developing the software as they are focusing on commercial applications. Despite the lack of a new version, their fanbase (in the forums) remains active and the program is still available.List of digital television deployments by country 
 DVB Dream ; Yes ; No ; No ; No ; No ; US$49 ; Proprietary ; 3.7.1br=yes ; Focused on DVB and live TV 
 DVBViewer ; Yes ; No ; No ; No ; No ; €20 ; Proprietary ; 6.1.5br=yes ;  
 Emby(formerly MediaBrowser) ; Yes ; Yes ; Yes ; Yes ; Yes(clientonly) ; CripplewareEmby Server is available for free under GPL which provides web access to the library. Client software is generally free when connected to an Emby Premiere-licensed server, though some, like Emby on the Windows Store, cost $4.99.Premiere license costs $4.99/month, $49.99/year, or $99.99 for lifetime. ; GPL & Proprietary ; 4.3.0.15-betabr=yes ; Compatible with SiliconDust HDHomeRun tuners.{{Cite web|title=Introducing the new Live TV for Emby (and a new Emby Server beta)|url=Emby|access-date=2015-08-30|archive-url= 
 EyeTV ; No ; Yes ; No ; No ; No ; Bundled ; Proprietary ; 3.6.9(build7521)br=yes ; Bundled for no extra charge with all Elgato USB tuners, but also sold separately for use with other tuners. 
 Hauppauge WinTV ; Yes ; No ; No ; No ; No ; Bundled ; Proprietary ; 8.5(build37122)br=yes ; Bundled for no extra charge, only works with Hauppauge TV cards and peripherals. 
 InterVideo WinDVR ; Yes ; No ; No ; No ; No ; Discontinued ; Proprietary ; 5.2br=yes ; Discontinued. Used to be bundled for no extra charge with various TV tuner devices. 
 Jellyfin ; Yes ; Yes ; Yes ; Yes(unofficially) ; Yes(client only) ; Free ; GPL ; 10.6.0br=yes ; 
 JRiver Media Center ; Yes ; Yes ; Yes ; No ; Yes ; US$59.98(unlimited installations) ; Proprietary ; 25.0.114br=yes ; DirectShow video player, madVR, LAV filters, HD audio, images, 10 foot GUI, Remote control, DLNA, Android/iPhone interface, automatic meta-data lookup for Audio, TV and Movies, fully customizable database 
 Kodi(formerlyXBMC) ; Yes ; Yes ; Yes ; Yes ; Yes ; Free ; GPL ; 18.4"Leia"br=yes ; Cross-platform free and open-source software media center application, able to watch live or recorded TV, music, photos and has one of the most expansive collection of plugins/addons, enabling the system to do anything from browsing the web or downloading movies, to dimming the lights in the sitting room. 
 MediaPortal ; Yes ; No ; No ; No ; No ; Free ; GPL ; MP1:1.23br=yesbr=yesMP2:2.2.2 ; built on the .NET 2.0 Framework 
 MythTV ; Yes2LimitedPorting MythTV to Windows is under development. ; Yes ; Yes ; Yes ; No ; Free ; GPL ; 30.0br=yes ; Under heavy development since 2002, and now contains most features one would expect from a good DVR. 
 NextPVR ; Yes ; Yes ; Yes ; No ; Yes(clientonly) ; Free ; Proprietary ; 5.0.0.191018-betabr=yes ; Personal video recorder application for Microsoft Windows, Linux, Mac and Docker. Supports a wide variety of devices, and a good set of features. Free for personal use. Commercial use requires a license.  
 SageTV ; YesThere is also a Windows Home Server Edition ; Yes ; Yes ; No ; Yes(clientonly) ; Free(was US$79.95/server, US$29.95/client) ; GPL(was Proprietary) ; 9.1.6br=yes ;Javabased.SageTVwaspurchasedbyGoogleon MDY and on MDY it was announced that the project was converting to open-source development. 
 Showshifter ; Yes ; No ; No ; No ; No ; Discontinued(was £30) ; Proprietary ; 3.12.2945br=yes ; Supports some older TechnoTrend/Hauppauge boxes which are not BDA compliant, such as the Dec 2000-t/3000-s and first generation Nova-t USB boxes, which are unsupported by other PVR software. 
 tvtime ; No ; No ; Yes ; No ; No ; Free ; GPL ; 1.0.2br=yes ; High quality television application for use with video capture cards on Linux systems. tvtime processes the input from a capture card and displays it on a computer monitor or projector 
 Video Disk Recorder ; No ; No ; Yes ; Yes ; No ; Free ; GPL ; 2.4.1br=yes ; TV Done Right, VDR can use one to eight video cards and support DVB-S, DVB-C and DVB-T. Record and read any DVB flux with a lot of plugins. 
 Windows Media Center ; Yes ; No ; No ; No ; No ; WindowsXP/Vista/7: Free ; Proprietary ; 6.3.9600.16384br=yes ; Included with Windows XP Media Center Edition, Windows Vista Home Premium and Ultimate editions and Windows 7 Home Premium, Professional, and Ultimate editions. Was available for Windows 8 Pro and Windows 8.1 Pro as part of the Media Center Pack add-on, until it was discontinued on October 30, 2015. Available for Windows 8, Windows 8.1 and Windows 10 unofficially through a windows command script installer. Not available for Windows RT. 
 V@Home ; Yes ; YesManage and schedule recordings ; Yes ; No ; No ; Bundled ; Proprietary ; 2.59br=yes ; Bundled for no extra charge with VBox Home TV Gateway - Network TV Tuner, Manage and schedule recordings from any web browser, local or over the internet 
 group=general ; group=general ; group=general ; group=general ; group=general ; group=general ; group=general ; group=general ; group=general ; group=general 
