 Kernel name ; Linux ; Darwin ; Windows NT ; FreeBSD ; NetBSD ; Solaris ; OSF/1 ; Amiga Unix ; SunOS ; BSD/OS ; IBCS2 systems ; IRIX ; Ultrix ; NDIS ; SVR4 
 FreeBSD kernel ; yesLinux emulation in FreeBSD - 2 A look inside... ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; yes 
 Linux kernel ; yes ; no ; (Longene) ; yes ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 NetBSD kernel ; yesNetBSD Binary Emulation ; no? ? ; no? ? ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes  ; yes 
 OpenBSD kernel ; yes ; no ; no ; yes ; yes ; yes ; no ; no ; yes ; dunno ; dunno ; dunno ; dunno ; no ; yes 
 Windows NT kernel ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 ReactOS kernel ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 XNU ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 Kernel name ; Linux ; Darwin ; Windows NT ; FreeBSD ; NetBSD ; Solaris ; OSF/1 ; Amiga Unix ; SunOS ; BSD/OS ; IBCS2 systems ; IRIX ; Ultrix ; NDIS ; SVR4 
