 Kernel Name ; Container (no resource management, no security) ; Container (no resource management) ; Container (resource management) ; Paravirtualization ; Full virtualization ; User-space execution ; Kernel as Library ; Kernel as Kernel Driver ; Hypervisor-Enforced Kernel Partitioning 
 Linux ; chroot ; LXC ; LXC ; Virtio, Hyper-V (guest only), Xen (guest only), VMI (guest only), kvm-lite, lguest ; KVM ; UML ; (LKL) ; (coLinux) ; no 
 DragonFly BSD kernel ; chroot ; jail ; jail ; no ; no ; vkernel ; ? ; ? ; no 
 FreeBSD kernel ; chroot ; jail ; jail ; Virtio, Xen (guest only) ; BHyVe (KVM) ; dunno ; ? ; ? ; no 
 NetBSD kernel ; chroot ; (sysjail (discontinued)) ; no ; Virtio and Xen ; no ; dunno ; Rump kernel ; ? ; no 
 Solaris kernel ; chroot ; Solaris Containers / Zones ; Solaris Containers / Zones ; No ; No ; No ; ? ; ? ; no 
 Windows NT kernel ; AppContainers, Job Objects, Windows Server Containers ; AppContainers, Job Objects, Windows Server Containers ; AppContainers, Job Objects, Windows Server Containers ; Hyper-V ; Hyper-V ; Project Drawbridge ; Project Drawbridge ; no ; Virtual Secure Mode, Device Guard, Credential Guardlanguage=en-US 
 XNU ; chroot ; dunno ; dunno ; dunno ; dunno ; dunno ; ? ; ? ; no 
