 Product ; Creator ; Latest stable release date ; Latest stable release ;License ; Runs on Windows ; Runs on Mac OS X ; Runs on Linux ;Oracle ;MySQL ;PostgreSQL ;MS SQL Server ; ODBC ;JDBC ;SQLite ; Other ; Programming language 
 rh2|Maatkit ;Baron Schwartz ; 2010-06-01 ; 5247 ;GPL ; yes ; yes ; yes ;  ; yes ;  ;  ;  ;  ;  ;  ;Perl 
 rh|Microsoft SQL Server Management Studio ;Microsoft ; 2020-07-22 ; 18.6 ;Proprietary ; yes ; no ; no ;  ;  ;  ; yes ;  ;  ;  ; including SSAS management, and MDX, DMX, and XMLA languages ;.Net 
 rh|ModelRight ;ModelRight ; 2016-12-?? ; 4.1 ;Proprietary ; yes ; no ; no ; yes ; yes ;  ; yes ; yes ;  ;  ;SQL Server, Oracle, MySQL, PostgreSQL, DB2, DB2/zOS, MS Access ;C++ 
 rh|MySQL Workbench ;Oracle Corporation ; releasedate ; MySQL Workbench version ; Community Ed: GPL Standard Ed: Commercial Proprietary  ; yes ; yes ; yes ;  ; yes ;  ;  ;  ;  ;  ;  ;C++/C# Objective-C Python (programming language) 
 rh|Navicat ; PremiumSoft CyberTech Ltd. ; 2020-04-15 ; 15.0.13 ;Proprietary ; yes ; yes ; requires Wine ; yes ; yes ; yes ; yes ; yes ;  ; yes ;  ;Borland Delphi Objective-C 
 rh|Navicat Data Modeler ; PremiumSoft CyberTech Ltd. ; 2015-12-10 ; 2.1 ;Proprietary ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ;  ; yes ;  ;Borland Delphi Objective-C 
 rh|Oracle Enterprise Manager ;Oracle Corp. ; 2015-06-16 ; 12.1.0.5 ;Proprietary ; yes ; No ; yes ; yes ; yes ;  ; yes ;  ;  ;  ;DB2, Sybase, TimesTen ;Java 
 rh|Oracle SQL Developer ;Oracle Corp. ; 2018-04-05 ; 18.1.0.095.1630 ;Proprietary ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ;  ;Microsoft Access, Sybase, DB2, Teradata ;Java 
 rh|Orbada ; Andrzej Kaluza ; releasedate ; Orbada version ;GPL ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ;Firebird, HSQL, InterBase, Derby all with JDBC driver ;Java 
 rh|pgAdmin ; pgAdmin Development Team ; 2020-03-05 ; 4.19 ;PostgreSQL License ; yes ; yes ; yes ; ;  ; yes ;  ;  ;  ;  ;  ;C++ 
 rh|phpLiteAdmin ; Dane Iracleous, Christopher Kramer and others ; 2019-09-05 ; 1.9.8.2 ;GPL ; yes ; yes ; yes ; no ; no ; no ; no ; no ; no ; yes ;  ;PHP 
 rh|phpMyAdmin ; phpMyAdmin Development Team ;releasedate ;phpMyAdmin version ;GPL ; yes ; yes ; yes ;  ; yes ;  ;  ;  ;  ;  ;Drizzle, MariaDB ;php 
 rh|SQL Database Studio ; Jan Prochazka ; 2016-05-27 ; 3.4.1 ;Proprietary ; yes ; no ; no ; no ; no ; no ; yes ;  ;  ;  ;  ;.NET, WPF, C# 
 rh|SQLyog ; Webyog Softworks Pvt. Ltd. ; releasedate ; SQLyog version ;GPLv2 ; yes ; requires Wine ; requires Wine ;  ; yes ;  ;  ;  ;  ;  ;  ;C++ 
 rh|SQuirreL SQL ; Colin Bell, Gerd Wagner, Rob Manning and others ; releasedate ; SQuirreL SQL Client version ;GPLv2 & LGPL2 ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ;Access,Axion Java RDBMS, Apache Derby, Daffodil DB, FileMaker (JDBC), Fujitsu Siemens SESAM/SQL, Firebird, FrontBase, HSQLDB, Hypersonic SQL, H2 (DBMS), IBM DB2, Informix, Ingres, OpenIngres, InstantDB, InterBase, Mckoi SQL Database, Microsoft SQL Server, Mimer SQL, Netezza, Pointbase, SAPDB, Sybase, Sunopsis XML Driver, Teradata Warehouse, ThinkSQL RDBMS, Vertica Analytic Database, and others with JDBC drivers. ;Java 
 rh|Toad ;Quest Software ; Various ; Various ;Proprietary ; yes ; no ; no ; yes ; yes ;  ; yes ; yes ;  ;  ;DB2, Sybase ;Embarcadero Delphi, C#.NET 
 rh|Toad Data Modeler ;Quest Software ; 2009-03-05 ; 3.3.8 ;Proprietary ; yes ; no ; no ; yes ; yes ; yes ; yes ;  ;  ;  ;DB2, MS Access, Sybase ;Embarcadero Delphi 
 rh|TOra ; Community ; 2017-07-04 ; 3.2 ;GPL ; yes ; yes ; yes ; yes ; yes ; yes ;  ;  ;  ;  ;Teradata ;C++/Qt 
