 Name ; Users ; Projects ; Alexa rank (lower = more popular) 
 Assembla ; unk ; 526581+ ; 35454 lc=y 
 Bitbucket ; 5000000 ; unk ; 1341 lc=y 
 Buddy ; unk ; unk ; 39857 lc=y 
 CloudForge ; unk ; unk ; 402884 lc=y 
 Gitea ; unk ; unk ; 236332 lc=y 
 GitHub ; 31000000 ; 100000000 ; 78 lc=y 
 GitLab ; 100000{{Cite news|url= ; 546000GitLab is not fundamentally organized by projects, so the count is somewhat difficult. ; 2710 lc=y 
 GNU Savannah ; 93346 ; 3848 ; 162054 lc=y 
 Launchpad ; 3965288People and teams in Launchpad. launchpad.net. Retrieved 2017-10-18. ; 40881Projects registered in Launchpad. launchpad.net. Retrieved 2017-10-18 ; 11533 lc=y 
 OSDN ; 54826 ; 6294 ; 8708 lc=y 
 Ourproject.org ; 6353 ; 1846 ; 1083012 lc=y 
 OW2 Consortium ; unk ; unk ; 1509677 lc=y 
 Rosetta code ; unk ; unk ; 66029 lc=y 
 SEUL ; unk ; unk ; 1602812 lc=y 
 SourceForge ; 3700000 ; 500000 ; 470 lc=y 
 Name ; Users ; Projects ; Alexa rank (lower = more popular) 
