 ; ; Trident ; Tasman ; Gecko ; WebKit ; KHTML ; Presto 
 rh| Interface EventTarget ; rh| Interface EventTarget ; rh| Interface EventTarget ; rh| Interface EventTarget ; rh| Interface EventTarget ; rh| Interface EventTarget ; rh| Interface EventTarget ; rh| Interface EventTarget 
 DOM2 ; addEventListener() ; 5.0 ; rowspan="3" no ; 1.0 ; rowspan="2" yes ; rowspan="2" yes ; 1.0 
 DOM2 ; removeEventListener() ; 5.0 ; 1.0 ; 1.0 
 DOM2 ; dispatchEvent() ; 5.0 ; ? ; 1.0 ; ? ; 1.0 
 rh| Interface EventListener ; rh| Interface EventListener ; rh| Interface EventListener ; rh| Interface EventListener ; rh| Interface EventListener ; rh| Interface EventListener ; rh| Interface EventListener ; rh| Interface EventListener 
 DOM2 ; handleEvent() ; ? ; ? ; ? ; ? ; ? ; 1.0 
 rh| Interface Event ; rh| Interface Event ; rh| Interface Event ; rh| Interface Event ; rh| Interface Event ; rh| Interface Event ; rh| Interface Event ; rh| Interface Event 
 DOM2 ; type ; 4.0 ; rowspan="2" yes ; 1.0 ; ? ; ? ; 1.0 
 DOM2 ; target ; rowspan="9" no ; 1.3 ; Incorrect ; ? ; 1.0 
 DOM2 ; currentTarget ; rowspan="8" no ; 1.0 ; ? ; ? ; 1.0 
 DOM2 ; eventPhase ; ? ; 1.0 ; ? ; 1.0 
 DOM2 ; bubbles ; ? ; 1.0 ; ? ; 1.0 
 DOM2 ; cancelable ; ? ; 1.0 ; ? ; 1.0 
 DOM2 ; timeStamp ; Yes ; ? ; ? ; 1.0 
 DOM2 ; stopPropagation() ; 1.0 ; ? ; ? ; 1.0 
 DOM2 ; preventDefault() ; 1.0 ; ? ; ? ; 1.0 
 DOM2 ; initEvent() ; 1.0 ; ? ; ? ; 1.0 
 rh| Exception EventException ; rh| Exception EventException ; rh| Exception EventException ; rh| Exception EventException ; rh| Exception EventException ; rh| Exception EventException ; rh| Exception EventException ; rh| Exception EventException 
 DOM2 ; code ; no ; no ; 1.0 ; ? ; ? ; 1.0 
 rh| Interface DocumentEvent ; rh| Interface DocumentEvent ; rh| Interface DocumentEvent ; rh| Interface DocumentEvent ; rh| Interface DocumentEvent ; rh| Interface DocumentEvent ; rh| Interface DocumentEvent ; rh| Interface DocumentEvent 
 DOM2 ; createEvent() ; no ; no ; 1.0 ; ? ; ? ; 1.0 
 rh| Interface UIEvent ; rh| Interface UIEvent ; rh| Interface UIEvent ; rh| Interface UIEvent ; rh| Interface UIEvent ; rh| Interface UIEvent ; rh| Interface UIEvent ; rh| Interface UIEvent 
 DOM2 ; view ; rowspan="3" no ; rowspan="3" no ; rowspan="3" nopublisher=Mozilla ; ? ; ? ; 1.0 
 DOM2 ; detail ; ? ; ? ; 1.0 
 DOM2 ; initUIEvent() ; ? ; ? ; 1.0 
 rh| Events for interface UIEvent ; rh| Events for interface UIEvent ; rh| Events for interface UIEvent ; rh| Events for interface UIEvent ; rh| Events for interface UIEvent ; rh| Events for interface UIEvent ; rh| Events for interface UIEvent ; rh| Events for interface UIEvent 
 DOM2 ; DOMFocusIn ; rowspan="3" no ; rowspan="3" no ; rowspan="3" no ; ? ; ? ; 1.0 
 DOM2 ; DOMFocusOut ; ? ; ? ; 1.0 
 DOM2 ; DOMActivate ; ? ; ? ; 1.0 
 rh| Interface MouseEvent ; rh| Interface MouseEvent ; rh| Interface MouseEvent ; rh| Interface MouseEvent ; rh| Interface MouseEvent ; rh| Interface MouseEvent ; rh| Interface MouseEvent ; rh| Interface MouseEvent 
 DOM2 ; screenX ; 4.0 ; rowspan="7" yes ; 1.0 ; rowspan="2" yes ; ? ; 1.0 
 DOM2 ; screenY ; 4.0 ; ? ; 1.0 ; 1.0 
 DOM2 ; clientX ; 4.0 ; Incorrect ; 1.0 ; ? ; 1.0 
 DOM2 ; clientY ; 4.0 ; Incorrect ; 1.0 ; ? ; 1.0 
 DOM2 ; ctrlKey ; 4.0 ; rowspan="4" yes ; 1.0 ; ? ; 1.0 
