 YouTube Downloader ; Online ; Windows ; Mac OS X ; Linux ; Android 
 rh|4KDownload ; no;yes;yes;yes;no 
 rh|ClipGrab ; no;yes;yes;yes;no 
 rh|Airy ; no;yes;yes;no;no 
 rh|Free Studio ; no;yes;yes;no;no 
 rh|Video DownloadHelper ; yes;yes;yes;yes;no 
 rh|Freemake Video Downloader ; no;yes;no;no;no 
 rh|NewPipe ; no;no;no;no;yes 
