 ; ;CrushFTP ;ProFTPD ;Pure-FTPd ;vsftpd ;Wu-ftp 
 ;License type ;proprietary ;FLOSS/GPL ;BSD ;FLOSS/GPL2 ;proprietary 
 OS ;Linux ;yes ;yes ;yes ;yes ;yes 
 OS ;Mac OS X ;yes ;yes ;yes ;yes ;yes 
 OS ;Unix ;yes ;yes ;yes ;yes ;yes 
 OS ;Windows ;yes ;no ;? ;no ;? 
 User Interface ;CLI ;yes ;yes ;? ;? ;? 
 User Interface ;GUI integrated ;yes ;no ;? ;? ;? 
 User Interface ;GUI(s) separately ;yes ;yes ;? ;? ;? 
 User Interface ;Web-based GUI ;yes ;? ;? ;? ;? 
 Services ;FTP ;yes ;yes ;yes ;yes ;yes 
 Services ;SFTP ;yes ;yes ;no ;no ;no 
 Services ;FTPS ;yes ;yes ;yes ;yes ;? 
 Services ;SCP ;yes ;? ;? ;no ;? 
 Services ;WebDAV ;yes ;? ;? ;no ;? 
 Services ;HTTP/HTTPS ;yes ;? ;? ;no ;? 
 Services ;AS2 ;yes ;? ;? ;? ;? 
 Authentication ;LDAP ;yes ;yes ;yes ;? ;? 
 Authentication ;Active Directory ;yes ;? ;? ;? ;? 
 Authentication ;Local ;yes ;yes ;yes ;yes ;yes 
 Authentication ;Database ;yes ;yes ;yes ;no ;? 
 High Availability ;Failover Cluster(active/passive) ;yes ;? ;? ;? ;? 
 High Availability ;Load Balancing(active/active) ;yes ;? ;? ;? ;? 
 Automation ;Event-handling ;yes ;yes ;? ;? ;? 
 Automation ;Scripting ;yes ;yes ;? ;? ;? 
  ;  ; CrushFTP ; ProFTPD ; Pure-FTPd ; vsftpd ; Wu-ftp 
