 ; ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; KHTML ; Presto 
 Element selectorspublisher=W3C ; Element selectorspublisher=W3C ; Element selectorspublisher=W3C ; Element selectorspublisher=W3C ; Element selectorspublisher=W3C ; Element selectorspublisher=W3C ; Element selectorspublisher=W3C ; Element selectorspublisher=W3C ; Element selectorspublisher=W3C ; Element selectorspublisher=W3C ; Element selectorspublisher=W3C ; Element selectorspublisher=W3C 
 CSS2 ; * ; Universal ; 7.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; E ; Element ; 4.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; E.class ; Class ; 7.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; E#id ; ID ; 4.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 selectors-3 ; ns|E ; Namespaced ; 9.0 ; 12 ; 1.0 ; yes ; yes ; 1.0 
 Relationship selectors ; Relationship selectors ; Relationship selectors ; Relationship selectors ; Relationship selectors ; Relationship selectors ; Relationship selectors ; Relationship selectors ; Relationship selectors ; Relationship selectors ; Relationship selectors ; Relationship selectors 
 CSS2 ; E F ; Descendant ; 4.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; E  F ; Child ; 7.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; E + F ; Direct adjacent ; 7.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 selectors-3 ; E ~ F ; Indirect adjacent ; 7.0 ; 12 ; 1.7 ; 412 ; 3.3.2 ; 2.0 
 selectors-4 ; E /for/ F ; Reference combinators ; no ; no ; no ; no ; no ; no 
 selectors-4 ; E! > F ; Subject ; no ; no ; nopublisher=Mozilla ; no ; no ; no 
 selectors-4 ; F ; E ; Column relation ; no ; no ; no ; no ; no ; no 
 Attribute selectors ; Attribute selectors ; Attribute selectors ; Attribute selectors ; Attribute selectors ; Attribute selectors ; Attribute selectors ; Attribute selectors ; Attribute selectors ; Attribute selectors ; Attribute selectors ; Attribute selectors 
 CSS2 ; E[attr] ; Has ; 7.0 ; 12 ; 1.0 ; 85 ; yes ; 1.0 
 CSS2 ; E[attr="value"] ; Equals ; 7.0 ; 12 ; 1.0 ; yes ; yes ; 1.0 
 CSS2 ; E[attr~="value"] ; Contains (space-separated) ; 7.0 ; 12 ; 1.0 ; yes ; yes ; 1.0 
 CSS2 ; E[attr|="value"] ; Contains (hyphen-separated) ; 7.0 ; 12 ; 1.0 ; yes ; yes ; 1.0 
 selectors-3 ; E[attr^="value"] ; Begins with ; 7.0 ; 12 ; 1.0 ; yes ; 3.4 ; 1.0 
 selectors-3 ; E[attr$="value"] ; Ends with ; 7.0 ; 12 ; 1.0 ; yes ; 3.4 ; 2.0 
 selectors-3 ; E[attr*="value"] ; Contains substring ; 7.0 ; 12 ; 1.0 ; yes ; 3.4 ; 2.0 
 selectors-3 ; E[ns|attr] ; Namespaced ; 7.0 ; 12 ; 1.0 ; yes ; 3.4 ; 2.0 
 selectors-4 ; E[foo="bar" i] ; Case-sensitivity ; no ; no ; no ; no ; no ; no 
 Pseudo-classes ; Pseudo-classes ; Pseudo-classes ; Pseudo-classes ; Pseudo-classes ; Pseudo-classes ; Pseudo-classes ; Pseudo-classes ; Pseudo-classes ; Pseudo-classes ; Pseudo-classes ; Pseudo-classes 
