Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
Poker Hand Dataset ;5 card hands from a standard 52 card deck. ;Attributes of each hand are given, including the Poker hands formed by the cards it contains. ;1,025,010 ;Text ;Regression, classification ;2007 ;Cattral, Robert, Franz Oppacher, and Dwight Deugo. "Evolutionary data mining with automatic rule generalization." Recent Advances in Computers, Computing and Communications(2002): 296–300. ;R. Cattral 
Connect-4 Dataset ;Contains all legal 8-ply positions in the game of connect-4 in which neither player has won yet, and in which the next move is not forced. ;None. ;67,557 ;Text ;Classification ;1995 ;Burton, Ariel N., and Paul HJ Kelly. "Performance prediction of paging workloads using lightweight tracing." Future Generation Computer Systems22.7 (2006): 784–793. ;J. Tromp 
Chess (King-Rook vs. King) Dataset ;Endgame Database for White King and Rook against Black King. ;None. ;28,056 ;Text ;Classification ;1994 ;Bain, Michael, and Stephen Muggleton. "Learning optimal chess strategies." Machine intelligence 13. Oxford University Press, Inc., 1994. isbn = 978-3-662-12407-9  ;M. Bain et al. 
Chess (King-Rook vs. King-Pawn) Dataset ;King+Rook versus King+Pawn on a7. ;None. ;3196 ;Text ;Classification ;1989 ;Shapiro, Alen D. Structured induction in expert systems. Addison-Wesley Longman Publishing Co., Inc., 1987. ;R. Holte 
Tic-Tac-Toe Endgame Dataset ;Binary classification for win conditions in tic-tac-toe. ;None. ;958 ;Text ;Classification ;1991 ; year = 1989  ;D. Aha 
