Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
HIGGS Dataset ;Monte Carlo simulations of particle accelerator collisions. ;28 features of each collision are given. ;11M ;Text ;Classification ;2014 ; s2cid = 195953  s2cid = 2339142 doi-access=free ;D. Whiteson 
HEPMASS Dataset ;Monte Carlo simulations of particle accelerator collisions. Goal is to separate the signal from noise. ;28 features of each collision are given. ;10,500,000 ;Text ;Classification ;2016 ;Pierre Baldi, Kyle Cranmer, Taylor Faucett, Peter Sadowski, and Daniel Whiteson. 'Parameterized Machine Learning for High-Energy Physics.' In submission. ;D. Whiteson 
