 ; Trident ; Gecko ; WebKit ; KHTML ; Presto ; Prince XML ; Antenna House 
 XLinkpublisher=W3C ; 5.0 ; partialgroup=note ; nopublisher=WebKit ; no ; partial ; partialgroup=note ; partial 
 XML Basepublisher=W3C ; no ; 1.0 ; nopublisher=WebKit ; yes ;  yes ; 6.0 ; yes 
 XPointerpublisher=W3C ; Dunno ; partial ; nopublisher=WebKit ; no ; no ; Dunno ; no 
