 ; Creator ; Latest stable version ; Release date ; OS ; Software license ; Open source ; Programming language ; Plugin support 
 rh| 9menu ; Arnold Robbins ; 1.8 ; 01 ; Linux ; GPL ; yes ; C ; no 
 rh| Avant Window Navigator ; Neil J. Patel ; 0.4.2  ; 27 ; Linux ; GPL ; yes ; C ; yes 
 rh| dmenu ; dwm developers ; 4.5 ; 19 ; Linux ; MIT License ; yes ; C ; no 
 rh| GNOME Do ; GNOME Do Developers ; 0.95.1 ; 23 ; Linux ; GPL ; yes ; C# ; yes 
 rh| LXPanel ; LXDE Developers ; 0.10.0 ; February 26, 2019 ; Linux ; GPL ; yes ; C ; yes 
 rh| Katapult ; TDE Developers ; R14.0.6 ; 05 ; Linux with TDE ; GPL ; yes ; C++ ; yes 
 rh| rlaunch ; Mykolas Peteraitis ; 1.3.5 ; 16 ; Linux ; MIT License ; yes ; Rust ; no 
 rh| rofi ; Dave Davenport ; 1.5.4 ; 26 ; Linux ; MIT/X11 License ; yes ; C ; no 
 rh| Unity Dash ; Canonical Ltd. ; 7.3.0 ; 19 ; Ubuntu ; GPLv3 ; yes ; Vala ; yes ("lenses" and "scopes") 
