 ; Trident ; Tasman ; Gecko ; WebKit ; KHTML ; Presto 
 DOM1 ; 6.0 ; yes ; 1.0 ; 85 ; yes ; 1.0 
 DOM2 ; Mostly ; partial ; Mostly ; partial ; Mostly ; Mostly 
 DOM3 ; no ; no ; partial ; partial ; partial ; partial 
