 Name ; FAT16, dosfs, FAT32, vfat ; NTFS ; Ext2 ; Ext3 ; XFS ; ReiserFS ; UFS ; UFS2 ; HFS ; HFS+ ; MINIXfs ; BFS ; ISO 9660 ; UDF ; NFS ; SMBFS ; RAM disk, tmpfs ; ZFS ; Other special file system 
 Linux ; yes ; yesf5f7 ; yes ; yes ; yes ; yes ; yesf2 ; yes ; yes ; yesf9 ; yes ; yesf2 ; yes ; yes ; yes ; yes ; yes ; yes ; 9P,f3 FUSE,f3 sysfs,f3 configfs,f3 Reiser4,f3f4 JFS, Btrfs, UnionFS, Ext4 
 FreeBSD ; yes ; yesf2f7 ; yes ; yesf2 ; yesf5 ; yesf2 ; yes ; yes ; no ; no ; no ; no ; yes ; yes ; yes ; yes ; yes ; yes ; FUSE, nullfs, UnionFS 
 NetBSD ; yes ; yesf2f7 ; yes ; ; no ; no ; yes ; yes ; ; yesf2 ; no ; no ; yes ; yesf2 ; yes ; yes ; yes ; yes ; PUFFS, LFS, EFS 
 OpenBSD ; yes ; yesf2 ; yes ; ; no ; no ; yes ; yes ; no ; no ; no ; no ; yes ; yes ; yes ; yes ; yes ; no ; AFS 
 DragonFly BSD ; yes ; yesf2 ; yes ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; yes ; yesf10 ; yes ; yes ; yes ; no ; HAMMER, nullfs, PUFFS 
 OpenSolaris, illumos ; yes ; yes f7f8 ; no ; no ; no ; no ; yes ; ; no ; no ; no ; no ; yes ; yes ; yes ; yes ; yes ; yes ; SMB (native), QFS 
 Darwin, OpenDarwin ; yes ; yesf2f7 ; ; ; ; ; yes ; ; yes ; yes ; ; ; yes ; yes ; yes ; yes ; ; ;  
 MINIX ; yes ; no ; yes ; ; ; ; ; ; ; ; yes ; no ; ; ; ; ; ; ;  
 FreeDOS ; yes ; no ; no ; no ; no ; no ; no ; ; ; ; no ; no ; yes ; ; ; ; yes ; ; 
 Genode ; yes ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; yes ; no ; Extensible VFS layer 
 Haiku ; yes ; yes f7 ; yes f12 ; yes f12 ; ; ; ; ; ; ; ; yes ; yes ; yes ; yes ; nof11 ; ; ;  
 KolibriOS ; yes ; yesf2 ; yesf2 ; yesf2 ; yesf2 ; ; ; ; ; ; ; ; yes ; ; ; ; yes ; ; 
 MenuetOS ; yes ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 GNU ; yes ; ; yes ; yesf13 ; ; ; yesf14 ; ; ; ; ; ; yes ; ; yes ; ; yes ; no ; 
 ReactOS ; yes ; ; yes ; no ; no ; no ; no ; ; ; ; no ; no ; ; ; ; ; ; ; 
 L4, Fiasco, Pistachio ; yes ; no ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Plan 9 ; yes ; ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; yes ; yes ; yes ; no ; Fossil, Venti, most system services 
 AROS ; yes ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; yes ; ; SFS, AFFS 
 Syllable ; yes ; yesf2 ; yesf2 ; yesf2 ; ; ; ; ; ; ; ; yes ; yes ; ; ; ; yes ; ; AFS 
 Inferno ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; yes ; ; kfs, most system services 
 FreeRTOS ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; no ; 
 eCos ; yes ; ; yesf2 ; ; ; ; ; ; ; ; ; ; ; ; ; ; yes ; ; MMFS, ROMfs, JFFS2, YAFFS 
 RTEMS ; yes ; ; ; ; ; ; ; ; ; ; ; ; ; ; yes ; ; yes ; ; TarFS, TFTP FS, IMFS, miniIMFS 
 HelenOS ; yes ; no ; yes ; yes ; no ; no ; no ; no ; no ; no ; yes ; no ; yes ; yes ; no ; no ; yes ; ; locfs, exFAT 
 E/OS ; yes ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; yes ; yesf6 ; yes ; no ; yes ; yes ; yes ; ; <!-- |- ; V2 OS 
 K42 
 UnixLite --> 
 Name ; FAT16, dosfs, FAT32, vfat ; NTFS ; Ext2 ; Ext3 ; XFS ; ReiserFS ; UFS ; UFS2 ; HFS ; HFS+ ; MINIXfs ; BFS ; ISO 9660 ; UDF ; NFS ; SMBFS ; RAM disk, tmpfs ; ZFS ; Other special file systems 
