 Country ; Rocket ; Burn time ; Specific impulse (Vac.) ; Thrust (Vac.) 
 IND ; S200 booster rocket stageaccessdate = 24 November 2019 ; 130s ; 274.5s ; 5150 kN
 JPN ; SRB-A series solid fueled rocket boosters ; 100s ; 280s ; 2260 kN
 ISR ; Shavit's first stage ; 82s ; 280s ; 1650 kN
 CHN ; Kuaizhou series of launch vehicles ; ; ; 
 CHN ; Long March 11 launch system ; ; ; 
