 Country ; Satellite ; Transponders ; Mass ; Power ; Year launched 
 CHN ; NIGCOMSAT 1R ; 28 ; 5150 kg; 10.5kW ; 2011 
 JPN ; ST-2 ; 51 ; 5090 kg; ; 2011 
 IND ; GSAT-16 ; 48 ; 3100 kg; 5.6kW ; 2014 
 IND ; GSAT-11 ; 40 ; 5854 kg; 13.6kW ; 2018 
