 Internet media type ; Trident ; Tasman ; Gecko ; WebKit ; KHTML ; Presto ; Prince XML 
 application/atom+xml ; ? ; ? ; ? ; ? ; ? ; 8.00 beta 2 url-status=dead  ; ? 
 application/mathml+xml ; no ; no ; 2.0publisher=Mozilla ; no ; no ; 9.50 beta 2 url-status=dead  ; ? 
 application/rss+xml ; ? ; ? ; ? ; ? ; ? ; 7.50 beta 1 url-status=dead  ; ? 
 application/xhtml+xml ; XHTML 5.0 ; Prompt for download ; XHTML ; XHTML125 ; HTML ; XHTML1.0 ; ? 
 application/xml ; XHTML 5.0 ; Crash ; XHTML ; XHTML125 ; XML ; XHTML1.0 ; ? 
 application/xslt+xml ; ? ; ? ; ? ; ? ; ? ; 9.00 beta 1 url-status=dead  ; ? 
 image/svg+xml ; ? ; ? ; 1.0publisher=Mozilla ; ? ; ? ; 9.50 url-status=dead  ; ? 
 text/xml ; XHTML 5.0 ; Crash ; XHTML ; XHTML125 ; XML ; XHTML1.0 ; ? 
 text/html ; HTML ; HTML ; HTML ; HTML ; HTML ; HTML ; ? 
