 ; Infantry Tank Mk I Matilda ; Infantry Tank Mk II Matilda ; Panzer I ; Panzer II ; Panzer III ; Panzer IV Ausf. A-F1 ; LT vz. 35(Panzer 35(t)isbn=1-85409-214-6isbn=0-7643-0141-1) ; LT vz. 38(Panzer 38(t)) ; 7TPTwenty captured 7TP were used by Germans as PzKpfw 7TP 731 (p). ; T-26Steven J. Zaloga and James Grandsen. Soviet Tanks and Combat Vehicles of World War Two, London: Arms and Armour Press, 1984. 0-85368-606-8. ; BT-7M "Russia's BT-7 Fast Tanks" at wwiivehicles.com.  URL accessed 2006-07-25. ; T-34 Model 1940Zaloga, Steven J., James Grandsen (1983). T-34 in Action, p.40. Carrollton, Texas: Squadron/Signal. 0-89747-112-1. ; KV-1 Model 1940 ; Type 97 Chi-Ha isbn = 978-8372371119 
 Country ; United Kingdom ; United Kingdom ; Nazi Germany ; Nazi Germany ; Nazi Germany ; Nazi Germany ; Czechoslovakia, Nazi Germany ; Czechoslovakia, Nazi Germany, Sweden ; Poland ; Soviet Union ; Soviet Union ; Soviet Union ; Soviet Union ; Japan 
 Entered service ; 1938 ; 1939 ; 1934 ; 1936 ; 1939 ; 1939 ; 1937 ; 1939 ; 1935 ; 1931 ; 1939 ; 1940 ; 1940 ; 1937 
 Crew ; 2 ; 4 ; 2 ; 3 ; 5 ; 5 ; 4 ; 4 ; 3 ; 3 ; 3 ; 4 ; 5 ; 4 
 Dimensions ; Dimensions ; Dimensions ; Dimensions ; Dimensions ; Dimensions ; Dimensions ; Dimensions ; Dimensions ; Dimensions ; Dimensions ; Dimensions ; Dimensions ; Dimensions 
 Length ; 4.9 m ; 6.0 m ; 4.40 m ; 4.80 m ; 5.52 m ; 5.92 m ; 4.9 m ; 4.61 m ; 4.56 m ; 4.88 m ; 5.66 m ; 5.92 m ; 6.75 m ; 5.50 m 
 Width ; 2.3 m ; 2.6 m ; 2.00 m ; 2.20 m ; 2.90 m ; 2.88 m ; 2.1 m ; 2.12 m ; 2.43 m ; 2.41 m ; 2.29 m ; 3.00 m ; 3.32 m ; 2.33 m 
 Height ; 2.0 m ; 2.5 m ; 1.70 m ; 2.00 m ; 2.50 m ; 2.68 m ; 2.35 m ; 2.40 m ; 2.27 m ; 2.08 m ; 2.42 m ; 2.45 m ; 2.71 m ; 2.21m 
 Weight ; 11 tonnes ; 27 tonnes ; 6.0 tonnes ; 9.5 tonnes ; 19.5 tonnes ; 21.0 tonnes ; 10.5 tonnes ; 9.5 tonnes ; 9.9 tonnes ; 10.3 tonnes ; 14.7 tonnes ; 26.3 tonnes ; 45 tonnes ; 14.3 to 15.2 tonnes 
 Armour ; Armour ; Armour ; Armour ; Armour ; Armour ; Armour ; Armour ; Armour ; Armour ; Armour ; Armour ; Armour ; Armour 
 Turret front  side  top ; 65mm  65mm  10mm ; 75mm  75mm  20mm ; 13mm  13mm  8mm ; 15mm  15mm  10mm ; 30mm  30mm  12mm ; 30mm  20mm  12mm ; 25mm  15mm  8mm ; 25mm  15mm  10mm ; 15mm  15mm  10mm ; 15mm  15mm  10mm ; 15mm  15mm  15mm ; 45mm  45mm  16mm ; 70mm  70mm  ?mm ; 25mm  25mm  10mm 
 Hull front  side  top ; 60mm  60mm  30mm ; 78mm  55mm  20mm ; 13mm  13mm  6mm ; 15mm  15mm  5mm ; 30mm  30mm  16mm ; 30+30mm  20+20mm  12mm ; 25mm  16mm  8mm ; 30mm  15mm  8mm ; 17mm  13mm  10mm ; 15mm  15mm  6mm ; 30mm  13mm  10mm ; 45mm  45mm  20mm ; 75mm  75mm  70mm ; 25mm  25mm  10mm 
