 Name ; Manufacturer ; Release              ; Size ; Type ; Capacity (GB)1GB = 1,000MB, 1MB = 1,000kB, 1kB = 1,000B       ; Storage ; External ; Dimensions (mm × mm) ; Depth (mm) ; Weight (g) ; Firmware 
 Archos 105 ; Archos ; 2007-08-31 ; ; DAP ; 0002 2 ; Flash ; SDHCAll SD card-complaint devices are also compatible with MultiMediaCard (MMC). ; 85 × 45 ; 7 ; 50fix-attempted=yes  ; 1.6.07 
 Archos 405 ; Archos ; 2007-09-01 ; Mini ; PMP ; 0002 2 ; Flash ; SDHC ; 99.6 × 78 ; 13.2 ; 119.07 ; 1.8.03 
 Archos 405 ; Archos ; 2008-02-07 ; Mini ; PMP ; 0030 30 ; HDD ; ; 100 × 78 ; 15 ; 191 ; 1.8.03 
 Archos 5 ; Archos ; 2008-08-19 ; Mid ; PMP ; 0500 120/500 ; HDD ; 8–32 GB and Micro SD Slot (SDHC compatible) ; 127 × 78.8 ; 19.4 ; 300 ; 1.6.53fix-attempted=yes  
 Archos 605 WiFi/GPS ; Archos ; 2007-09-01 ; Mid ; PMP ; 0004 4 ; Flash ; SDHC ; disp=output number only ; disp=output number only ; disp=output number only ; 1.8.03 
 Archos 605 WiFi/GPS ; Archos ; 2007-09-01 ; Mid ; PMP ; 0160 30/80/160 ; HDD ; ; disp=output number only ; disp=output number only ; disp=output number only ; 1.8.03 
 Archos 705 WiFi ; Archos ; 2007-11-27Release date according to Slashgear. ; Mega ; PMP ; 0160 80/160 ; HDD ; ; 182 × 128 ; 19.69 ; 630 ; 1.8.03 
 Cowon A3 ; Cowon ; 2007-11-14archivedate=2008-01-01  ; Mid ; PMP ; 0080 30/60/80 ; HDD ; ; 133.4 × 78.5 ; 22 ; 280 ; 1.24 
 Cowon D2 ; Cowon ; 2006-12-05{{cite web|url= Releases Premium MP3P 'COWON D2'|publisher=Cowon|url-status=dead|archiveurl= ; Micro ; PMP ; 0016 2/4/8/16 ; Flash ; SDHC ; 78.0 × 55.4 ; 16.6 ; 91.0 ; 2.57 
 Cowon Q5W ; Cowon ; 2007-11-30Release date according to SlipperyBrick. ; Mid ; PMP ; 0080 40/60/80 ; HDD ; ; 138.8 × 88.5 ; 20 ; 380 ; 1.5{{cite web|url= Q5W Firmware Download|publisher=Cowon|date=2008-01-31|url-status=dead|archiveurl= 
 Cowon O2PMP ; Cowon ; ; Mid ; PMP ; 0032 8/16/32 ; Flash ; ; abbr=on ; disp=output number only ; disp=output number only ; 
 Gigabeat T-Series ; Toshiba ; 2007-09-25Release date according to CNET. ; Micro ; PMP fack ; 0004 4 ; Flash ; ; 2.13 × 3.38  ; disp=output number only ; 58.11 ; No release 
 GP2X F-200 ; GamePark Holdings ; 2007-10-28Release date according to PlayAsia.com. ; Mid ; PMP, HGC ; 0064 64 ; ; SDHC ; disp=output number only ; disp=output number only ; disp=output number only ; 4.0.0{{cite web|url= F-200 Firmware Download|publisher=GamePark Holdings|date=2007-12-20|url-status=dead|archiveurl= 
 iPod ; Apple ; 2001author=Christopher Null  ; ; ; ; ; ; ; ; ; 
 iPod classic 6G ; Apple ; 2007-09-07Release date according to CNET. ; Mini ; DAP ; 0160 160 ; HDD ; ; disp=output number only ; disp=output number only ; disp=output number only ; 1.1.2 
 iPod nano 6G ; Apple ; 2010-09-08Release date according to CNET. ; Micro ; DAP ; 0016 8/16 ; Flash ; ; disp=output number only ; disp=output number only ; disp=output number only ; 1.2 
 iPod touch 5G ; Apple ; 2012-10-09Release date according to CNET. ; Mini ; PMP ; 0064 32/64 ; Flash ; ; 123.4 x 58.6 ; 6.1 ; 88 ; 9.0 
 iriver clix 2G ; ReignCom ; 2007-04-24Release date according to CNET. ; Micro ; PMP ; 0008 2/4/8 ; Flash ; ; disp=output number only ; disp=output number only ; disp=output number only ; 1.07 
 PSP Slim & Lite ; Sony ; 2007-08-30Release date according to YesAsia. ; Mid ; PMP, HGC ; 0064 64not user accessible ; ; Memory Stick ; disp=output number only ; disp=output number only ; disp=output number only ; 6.10 
 Rio PMP300 ; Diamond Multimedia ; 1998-09-15 ; Mid ; DAP ; 0.032 ; Flash ; SmartMedia ; 89x63 ; 16 ; ; 
 Samsung Galaxy Player 4.0 & 5.0 ; Samsung ; 2011-10-16Release date according to Amazon. ; Mid ; PMP ; 0008 8/16 ; Flash ; microSDHC ; 123.7 x 64.2 (4.0), 141.3 x 78.2 (5.0) ; 9.9 (4.0), 11.9 (5.0) ; 121 (4.0), 182 (5.0) ; 2.3.5 
 Samsung T10 ; Samsung ; 2007-09 ; ; DAP ; 0008 2/4/8 ; Flash ; ; 96 × 41.4 ; 7.9 ; 43 ; 3.06fix-attempted=yes  
 Samsung P2 ; Samsung ; 2007-09 ; ; DAP ; 0008 4/8 ; Flash ; ; 100 × 52 ; 9.9 ; 83 ; 5.10{{cite web|url= P2 Firmware Download|publisher=Samsung|url-status=dead|archiveurl= 
 Sansa Fuze ; SanDisk ; 2008-03-17Release date according to CNET. ; ; DAP ; 0008 2/4/8 ; Flash ; microSDHC ; 78.7 × 48.3 ; 7.6 ; 59.5 ; 01.02.28 & 02.03.33{{cite web|title=Sansa Fuze Firmware Update|url= 
 Sansa Fuze+ ; SanDisk ; 2010-09-01Release date according to . ; ; PMP ; 0008 4/8/16 ; Flash ; microSD microSDHC ; 96.5 × 50.7 ; 11.1 ; 170 ; 02.38.06{{cite web|title=Sansa Fuze+ Firmware Update|url= 
 Sansa View ; SanDisk ; 2007-10-26Release date according to MP3.com date=January 11, 2008  ; ;  PMP ; 0032 8/16/32 ; Flash ; microSDHC ; disp=output number only ; disp=output number only ; disp=output number only ; 01.03.02a{{cite web|title=Sansa View Latest Firmware 01.03.02a Download|url= 
 Walkman NWZ-A820 series ; Sony ; 2008-03-28Release date according to CNET. ; ; DAP ; 0008 4/8/16 ; Flash ; ; disp=output number only ; disp=output number only ; disp=output number only ; 1.02 
 Walkman NWZ-E580 series ; Sony ; 2013-07-10 ; ; DAP ; 0008 8/16 ; ; ; 42.1 x 92.1 ; 8 ; 49 ; 
 ZEN ; Creative ; 2007-09-14 ; Micro ; PMP ; 0032 2/4/8/16/32 ; Flash ; SDHC ; disp=output number only ; disp=output number only ; disp=output number only ; 1.21.01{{cite web|url= Firmware Download|publisher=Creative|access-date=2008-01-01|archive-url= 
 ZEN X-Fi ; Creative ; 2008-07-10 ; Micro ; PMP ; 0032 8/16/32 ; Flash ; SD ; disp=output number only ; disp=output number only ; disp=output number only ; 1.03.01{{cite web|url= Worldwide Support > Zen X-Fi|publisher=Creative|url-status=dead|archiveurl= 
 ZEN Vision W ; Creative ; 2006-08-30 ; Mid ; PMP ; 0060 30/60 ; HDD ; CF ; disp=output number only ; disp=output number only ; disp=output number only ; 1.10.01{{cite web|url= Vision W Firmware Download|publisher=Creative|url-status=dead|archiveurl= 
 Zune 30 ; Microsoft ; 2006-11-14 ; Mid ; PMP ; 0030 30 ; HDD ; ; disp=output number only ; disp=output number only ; disp=output number only ; 3.3 
 Zune 4/8 ; Microsoft ; 2007-11-13{{cite web|url= Unveils Device Customization via New Zune Originals Store, New Zune Players Available Tomorrow|publisher=Microsoft|date=2007-11-12|accessdate=2008-01-02|url-status=dead|archiveurl= ; Micro ; PMP ; 0008 4/8 ; Flash ; ; disp=output number only ; disp=output number only ; disp=output number only ; 3.3 
 Zune 16 ; Microsoft ; 2008-09-16 ; Micro ; PMP ; 0016 16 ; Flash ; ; disp=output number only ; disp=output number only ; disp=output number only ; 3.3 
 Zune 80 ; Microsoft ; 2007-11-13 ; Mid ; PMP ; 0080 80 ; HDD ; ; disp=output number only ; disp=output number only ; disp=output number only ; 3.3 
 Zune 120 ; Microsoft ; 2008-09-16 ; Mid ; PMP ; 0120 120 ; HDD ; ; disp=output number only ; disp=output number only ; disp=output number only ; 3.3 
 Zune HD ; Microsoft ; 2009-09-15 ; Mini ; PMP ; 0064 16/32/64 ; Flash ; ; disp=output number only ; disp=output number only ; disp=output number only ; 4.5 
 Zvue 260 ; Zvue ; 2007-07-17 ; ; DAP ; 0000 None ; HDD ; SDHC ; disp=output number only ; disp=output number only ; disp=output number only ; 2.80 I_071012 
 Name ; Manufacturer ; Release ; Size ; Type ; Capacity (GB) ; Storage ; External ; Dimensions (mm × mm) ; Depth (mm) ; Weight (g) ; Firmware 
