Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
Cloud DataSet ;Data about 1024 different clouds. ;Image features extracted. ;1024 ;Text ;Classification, clustering ;1989 ; doi=10.1016/j.neucom.2005.02.015 ;P. Collard 
El Nino Dataset ;Oceanographic and surface meteorological readings taken from a series of buoys positioned throughout the equatorial Pacific. ;12 weather attributes are measured at each buoy. ;178080 ;Text ;Regression ;1999 ; s2cid = 534881  ;Pacific Marine Environmental Laboratory 
Greenhouse Gas Observing Network Dataset ;Time-series of greenhouse gas concentrations at 2921 grid cells in California created using simulations of the weather. ;None. ;2921 ;Text ;Regression ;2015 ; doi-access = free  ;D. Lucas 
Atmospheric CO2 from Continuous Air Samples at Mauna Loa Observatory ;Continuous air samples in Hawaii, USA. 44 years of records. ;None. ;44 years ;Text ;Regression ;2001 ; bibcode=1965JGR....70.6053P ;Mauna Loa Observatory 
Ionosphere Dataset ;Radar data from the ionosphere. Task is to classify into good and bad radar returns. ;Many radar features given. ;351 ;Text ;Classification ;1989 ;Sigillito, Vincent G., et al. "Classification of radar returns from the ionosphere using neural networks." Johns Hopkins APL Technical Digest10.3 (1989): 262–266. ;Johns Hopkins University 
Ozone Level Detection Dataset ;Two ground ozone level datasets. ;Many features given, including weather conditions at time of measurement. ;2536 ;Text ;Classification ;2008 ;Zhang, Kun, and Wei Fan. "Forecasting skewed biased stochastic ozone days: analyses, solutions and beyond." Knowledge and Information Systems14.3 (2008): 299–326.Reich, Brian J., Montserrat Fuentes, and David B. Dunson. "Bayesian spatial quantile regression." Journal of the American Statistical Association (2012). ;K. Zhang et al. 
