 Country ; Spaceplane ; First flight mission ; Year ; Program status 
 JPN ; HOPE-X ; HYFLEX ; 1996 ; Cancelled 
 CHN ; Various ; Shenlong ; 2007 ; Ongoing 
 IND ;RLV–TD ; Hypersonic Flight Experiment ; 2016 ; Under development 
